;Rank;Artist;Album;Date;Genres;RYM Rating;Ratings;Reviews
4063;4064;Dave Holland Trio;Triplicate;1988;Jazz, Avant-Garde Jazz;3.66;98;1
4064;4065;Booker Ervin;The Song Book;July 1964;Hard Bop;3.68;97;4
4065;4066;Chico Freeman;Destiny's Dance;1982;Post-Bop;3.82;85;1
4066;4067;Jaimeo Brown;Transcendence;2013;Avant-Garde Jazz, Spirituals;3.65;93;1
4067;4068;Adrian Younge;Jazz Is Dead 003;21 August 2020;MPB, Samba-jazz, Jazz-Funk;3.18;144;1
4068;4069;Pharoah Sanders;Moon Child;1990;Spiritual Jazz;3.28;147;2
4069;4070;Arawak;Accadde a...;1970;Library Music, Jazz-Funk;3.35;123;3
4070;4071;Cannonball Adderley;Presenting Cannonball;1955;Hard Bop;3.49;123;1
4071;4072;Gabor Szabo;Belsta River;1979;Jazz Fusion;3.53;104;
4072;4073;Keith Jarrett;Invocations - The Moth and the Flame;1981;Modern Classical, ECM Style Jazz;3.57;105;2
4073;4074;Black Flower;Abyssinia Afterlife;April 2014;Afro-Jazz, Jazz-Funk;3.61;91;3
4074;4075;Willie Nelson;That's Life;26 February 2021;Standards, Vocal Jazz;3.12;150;3
4075;4076;Alabaster dePlume;Come With Fierce Grace;8 September 2023;Spiritual Jazz;3.29;126;
4076;4077;George Duke;Reach for It;1977;Jazz Fusion, Jazz-Funk;3.44;124;5
4077;4078;Quantic Soul Orchestra;Tropidelico;22 October 2007;Latin Funk, Latin Jazz;3.46;131;2
4078;4079;Keith Tippett's Ark;Frames (Music for an Imaginary Film);1978;Avant-Garde Jazz;3.64;92;
4079;4080;Annabel (lee);The Cleansing;22 September 2017;Vocal Jazz, Contemporary Folk, Dark Jazz;3.30;125;
4080;4081;Deus Ex Machina;Equilibrismo da insofferenza;1998;Avant-Prog, Jazz Fusion;3.53;114;4
4081;4082;Tantor;Tantor;1979;Jazz Fusion, Jazz-Rock, Progressive Rock;3.58;100;3
4082;4083;Rita Payés;Como la piel;16 April 2021;Bossa nova, Catalan Folk Music, Chamber Jazz;3.59;101;1
4083;4084;Toninho Horta;Toninho Horta;1980;MPB, Jazz Fusion;3.71;84;4
4084;4085;Carioca;Kartik;1985;Jazz Fusion, Bossa nova;3.35;131;
4085;4086; Valentina Ponomareva [Валентина Пономарёва];Искушение;1989;Sound Poetry, Avant-Garde Jazz;3.36;116;5
4086;4087;Gatto Marte;Danae;1997;Chamber Jazz, Avant-Prog;3.55;103;1
4087;4088;Lee Konitz;Lee Konitz Plays With The Gerry Mulligan Quartet;1956;Cool Jazz, Bebop;3.64;97;2
4088;4089;Chet Baker;Ballads for Two;1979;Chamber Jazz, Post-Bop;3.80;82;1
4089;4090;Aquiles Navarro;Heritage of the Invisible II;23 October 2020;Avant-Garde Jazz, Jazz Fusion;3.33;125;4
4090;4091;Frank Sinatra;Francis A. & Edward K.;24 February 1968;Vocal Jazz, Big Band;3.41;133;8
4091;4092;Johann Sebastian Bach;Hush;1992;Vocal Jazz, Jazz Pop, Chamber Music;3.40;132;3
4092;4093;Ray Charles;Soul Meeting;1961;Jazz;3.50;110;2
4093;4094;Ain Soph;Hat and Field;1986;Progressive Rock, Jazz Fusion;3.42;112;7
4094;4095;David Murray;Shakill's Warrior;1991;Avant-Garde Jazz;3.73;92;3
4095;4096;Michael Manring;Thoṅk;1994;Jazz Fusion, Jazz-Rock;3.56;103;3
4096;4097;Brown Eyed Girls;Sixth Sense;1 October 2011;K-Pop, Contemporary R&B, Big Band;3.31;153;
4097;4098;Egberto Gismonti;Corações futuristas;1976;Jazz Fusion, Third Stream;3.64;86;1
4098;4099;Flat Earth Society;Cheer Me, Perverts!;April 2009;Avant-Garde Jazz, Experimental Big Band;3.69;88;4
4099;4100;Roswell Rudd;Regeneration;1983;Post-Bop;3.67;91;1
4100;4101;Youn Sun Nah;Same Girl;24 September 2010;Vocal Jazz;3.30;147;2
4101;4102;Frank Foster;The Loud Minority;1974;Jazz-Funk, Progressive Big Band;3.69;86;1
4102;4103;Golden Retriever;Seer;25 March 2014;Progressive Electronic, Ambient, Avant-Garde Jazz;3.16;162;1
4103;4104;Tamba Trio;Avanço;1963;Samba-jazz, Bossa nova;3.52;96;2
4104;4105;Soften the Glare;Making Faces;1 September 2017;Jazz Fusion, Progressive Rock;3.54;98;1
4105;4106;Bobo Stenson Trio;War Orphans;26 January 1998;ECM Style Jazz;3.72;98;2
4106;4107;Mary Lou Williams Trio;Free Spirits;1976;Post-Bop;3.78;80;1
4107;4108;Steroid Maximus;Gondwanaland;1992;Experimental Big Band, Industrial;3.30;150;3
4108;4109;The Ramsey Lewis Trio;Sound of Christmas;1961;Christmas Music, Jazz, Soul Jazz;3.53;98;2
4109;4110;Jack Lancaster;Marscape;October 1976;Jazz Fusion, Progressive Rock, Jazz-Rock;3.51;105;5
4110;4111;Dave Douglas;Strange Liberation;27 January 2004;Jazz, ECM Style Jazz;3.53;126;2
4111;4112;Paul Bley;Paul Bley With Gary Peacock;December 1970;Post-Bop;3.37;123;1
4112;4113;Wes Montgomery Trio;Guitar on the Go;10 October 1966;Jazz, Hard Bop;3.55;115;1
4113;4114;Chick Corea;Circulus;1978;Avant-Garde Jazz;3.59;104;4
4114;4115;Gunter Hampel Group;Music From Europe;1967;European Free Jazz;3.55;97;1
4115;4116;Charlie Mariano;Helen 12 Trees;1976;Jazz Fusion;3.58;94;3
4116;4117;Chico Hamilton Quintet;Chico Hamilton Quintet in Hi Fi;1956;Cool Jazz, Chamber Jazz;3.63;93;4
4117;4118;Adam Lane;4 Corners;March 2007;Avant-Garde Jazz;3.71;101;1
4118;4119;Il Berlione;Il Berlione;25 May 1992;Avant-Prog, Jazz Fusion;3.45;114;4
4119;4120;Greg Fox;The Gradual Progression;8 September 2017;Nu Jazz, Jazz Fusion, Progressive Electronic;3.19;142;
4120;4121;Cécile McLorin Salvant;For One to Love;4 September 2015;Vocal Jazz;3.42;111;2
4121;4122;Donald Byrd;Blackjack;March 1968;Soul Jazz, Hard Bop;3.58;103;1
4122;4123;George Duke;Master of the Game;1979;Jazz-Funk, Jazz Fusion;3.20;155;4
4123;4124;Jean Derome;Résistances;2017;Free Improvisation, Experimental Big Band;3.21;137;2
4124;4125;Gino Vannelli;A Pauper in Paradise;1977;Progressive Pop, Art Rock, Jazz Fusion;3.31;130;2
4125;4126;Frank Sinatra;I Remember Tommy;October 1961;Vocal Jazz, Standards;3.36;140;3
4126;4127;Dhafer Youssef;Birds Requiem;28 October 2013;Arabic Jazz;3.49;110;
4127;4128;Oscar Peterson Trio;West Side Story;1962;Hard Bop, Jazz;3.69;91;2
4128;4129;Booker Ervin;Exultation!;October 1963;Hard Bop;3.71;85;1
4129;4130;David Murray Octet;New Life;1987;Post-Bop;3.78;73;
4130;4131;John Zorn;New Traditions in East Asian Bar Bands;20 May 1997;Avant-Garde Jazz, Chinese Folk Music, Conducted Improvisation;3.19;164;11
4131;4132;Take 6;Take 6: doo be doo wop bop!;March 1988;Gospel, A cappella, Vocal Jazz;3.42;120;5
4132;4133;Weldon Irvine;Time Capsule;1973;Soul Jazz;3.50;109;1
4133;4134;Ramsey Lewis;Salongo;May 1976;Jazz-Funk;3.56;97;4
4134;4135;Asunta;Astralis;1999;Ritual Ambient, Dark Jazz;3.58;95;
4135;4136;Sonny Rollins;Now's the Time!;August 1964;Hard Bop;3.64;99;1
4136;4137;James Carter;Conversin' With the Elders;4 June 1996;Hard Bop, Post-Bop;3.70;95;2
