;Rank;Artist;Album;Date;Genres;RYM Rating;Ratings;Reviews
1000;1001;Thelonious Monk;Thelonious Himself;October 1957;Hard Bop;3.59;624;13
1001;1002;Fire! Orchestra;Exit!;11 January 2013;Experimental Big Band;3.56;2,731;41
1002;1003;Ill Considered;Ill Considered;18 September 2017;Avant-Garde Jazz;3.60;480;4
1003;1004;Jean-Luc Ponty;Imaginary Voyage;November 1976;Jazz Fusion, Jazz-Rock;3.60;499;15
1004;1005;Codona;Codona;1979;Jazz Fusion, ECM Style Jazz;3.59;428;7
1005;1006;Terje Rypdal;What Comes After;1974;Jazz Fusion, ECM Style Jazz;3.60;295;8
1006;1007;Sun Ra;The Heliocentric Worlds of Sun Ra;1965;Free Jazz;3.57;1,597;31
1007;1008;Freddie Hubbard;Backlash;May 1967;Modal Jazz, Hard Bop;3.60;339;7
1008;1009;Thad Jones;The Magnificent Thad Jones;January 1957;Hard Bop;3.68;253;3
1009;1010; Gunesh [Гунеш];Вижу Землю;1984;Jazz Fusion, Jazz-Rock;3.59;406;10
1010;1011;Duke Ellington and His Orchestra;The Nutcracker Suite;September 1960;Big Band, Swing, Christmas Music;3.68;253;4
1011;1012;George Russell and His Orchestra featuring Bill Evans;Jazz in the Space Age;1960;Modal Jazz, Avant-Garde Jazz, Post-Bop;3.60;384;5
1012;1013;Marion Brown;Why Not;1968;Avant-Garde Jazz, Modal Jazz;3.60;341;7
1013;1014;Calibro 35;Calibro 35;19 October 2008;Psychedelic Rock, Jazz-Funk, Soundtrack;3.61;322;6
1014;1015;Bill Evans;Trio 64;July 1964;Post-Bop;3.60;315;6
1015;1016;Ornette Coleman;Something Else! The Music of Ornette Coleman;November 1958;Hard Bop;3.58;1,283;20
1016;1017;The Cecil Taylor Quartet;Looking Ahead!;1959;Avant-Garde Jazz, Post-Bop;3.59;602;12
1017;1018;Yazz Ahmed;La saboteuse;12 May 2017;Arabic Jazz;3.59;719;2
1018;1019; Hozan Yamamoto [山本邦山];銀界 (Silver World);1977;Post-Bop;3.59;376;3
1019;1020;Barre Phillips;Mountainscapes;December 1976;Avant-Garde Jazz, Jazz Fusion;3.69;250;4
1020;1021;Henri Texier;Varech;1977;Chamber Jazz;3.60;336;4
1021;1022;Greg Howe;Introspection;28 September 1993;Jazz Fusion, Jazz-Rock;3.69;274;7
1022;1023;BADBADNOTGOOD;III;6 May 2014;Jazz Fusion;3.55;5,590;28
1023;1024;Miles Davis + 19;Miles Ahead;21 October 1957;Cool Jazz;3.56;3,080;45
1024;1025;Fire! Orchestra;Arrival;24 May 2019;Experimental Big Band;3.57;2,072;15
1025;1026;Niechęć;Niechęć;8 April 2016;Jazz-Rock, Jazz Fusion;3.57;1,688;10
1026;1027;Archie Shepp & Horace Parlan;Goin' Home;1977;Avant-Garde Jazz, Spiritual Jazz;3.77;233;2
1027;1028;Don Cherry;"""mu"" Second Part";1970;Free Jazz, Spiritual Jazz;3.58;876;2
1028;1029;Frank Sinatra;Come Fly With Me;6 January 1958;Standards, Vocal Jazz;3.57;1,141;25
1029;1030;Jaimie Branch;Fly or Die II: Bird Dogs of Paradise;11 October 2019;Avant-Garde Jazz, Spiritual Jazz;3.58;511;6
1030;1031;Sonny Sharrock;Guitar;1986;Psychedelic Rock, Avant-Garde Jazz;3.58;524;10
1031;1032;Erroll Garner;Contrasts;January 1955;Bebop, Stride;3.67;250;7
1032;1033;Masada;ב (Beit);21 January 1995;Avant-Garde Jazz, Klezmer;3.60;312;5
1033;1034;The Pyramids;Birth / Speed / Merging;1976;Spiritual Jazz;3.66;268;1
1034;1035;Tigran Hamasyan;Mockroot;3 February 2015;Jazz Fusion, Avant-Garde Jazz;3.58;827;13
1035;1036;Terje Rypdal;Descendre;1980;Jazz Fusion, ECM Style Jazz;3.61;280;8
1036;1037;Henry Threadgill;Easily Slip Into Another World;1988;Avant-Garde Jazz;3.67;250;2
1037;1038;Cecil Taylor Quartet;Jazz Advance;1957;Post-Bop, Avant-Garde Jazz, Hard Bop;3.58;799;14
1038;1039;John Coltrane;Lush Life;January 1961;Cool Jazz, Modal Jazz;3.56;2,363;27
1039;1040;Jeanne Lee;Conspiracy;1974;Avant-Garde Jazz, Vocal Jazz;3.58;384;6
1040;1041;Jimmy Giuffre;Western Suite;July 1960;Cool Jazz, Avant-Garde Jazz;3.59;321;3
1041;1042;The Giuseppi Logan Quartet ‎;The Giuseppi Logan Quartet;1965;Free Jazz;3.59;343;5
1042;1043;EABS;Discipline of Sun Ra;30 October 2020;Jazz Fusion;3.60;322;3
1043;1044;George Duke;Feel;28 October 1974;Jazz Fusion, Jazz-Funk;3.58;319;3
1044;1045;Haazz & Company;Unlawful Noise;1976;European Free Jazz;3.62;281;1
1045;1046;Lennie Tristano;Lennie Tristano;February 1956;Cool Jazz, Bebop;3.58;694;12
1046;1047;Paul Desmond;Glad to Be Unhappy;September 1965;Cool Jazz;3.67;269;1
1047;1048;David Murray Octet;Home;1982;Post-Bop;3.76;226;2
1048;1049;Peter Evans Quintet;Ghosts;March 2011;Avant-Garde Jazz;3.57;611;6
1049;1050;Sun Ra and His Solar Arkestra;Other Planes of There;1966;Free Jazz;3.58;595;10
1050;1051;The Necks;Silverwater;23 October 2009;Avant-Garde Jazz, Free Improvisation;3.58;481;10
1051;1052;Ahmed Abdul-Malik;Jazz Sahara;March 1959;Arabic Jazz;3.59;401;9
1052;1053;Oneness of Juju;African Rhythms;1975;Jazz-Funk, Spiritual Jazz;3.60;314;3
1053;1054;Paul Chambers Sextet;Whims of Chambers;December 1956;Hard Bop;3.65;265;7
1054;1055;Grant Green;Grant's First Stand;May 1961;Soul Jazz, Hard Bop;3.58;378;7
1055;1056;Nik Bärtsch's Ronin;Llyrìa;17 September 2010;ECM Style Jazz, Post-Minimalism;3.59;291;1
1056;1057;Brian Auger's Oblivion Express;Closer to It;June 1973;Jazz-Rock, Jazz Fusion, Jazz-Funk;3.62;277;10
1057;1058;Donald Byrd;The Cat Walk;February 1962;Hard Bop;3.69;259;3
1058;1059;Weather Report;Weather Report;May 1971;Jazz Fusion;3.56;1,465;32
1059;1060;Sun Ra and His Solar Arkestra;The Heliocentric Worlds of Sun Ra, Volume 2;1966;Free Jazz;3.57;759;13
1060;1061;Sun Ra Arkestra;Swirling;30 October 2020;Avant-Garde Jazz;3.58;341;6
1061;1062;The Headhunters;Survival of the Fittest;1975;Jazz-Funk, Jazz Fusion;3.58;352;8
1062;1063;Fire! Orchestra;Echoes;14 April 2023;Experimental Big Band;3.56;1,098;5
1063;1064;Pat Metheny;Song X;1986;Free Jazz;3.55;755;24
1064;1065;Elvin Jones;Heavy Sounds;May 1968;Post-Bop, Hard Bop;3.59;327;7
1065;1066;Jimmy Smith;House Party;January 1959;Soul Jazz;3.73;235;6
1066;1067;Gabor Szabo;Dreams;December 1968;Chamber Jazz, Jazz manouche;3.55;3,196;24
1067;1068;Gabor Szabo;Bacchanal;April 1968;Jazz Fusion, Folk Rock;3.58;416;5
1068;1069;Kuumba-Toudie Heath;Kawaida;1970;Spiritual Jazz, Modal Jazz;3.61;270;11
1069;1070;Fuubutsushi;Fuubutsushi (風物詩);29 September 2020;ECM Style Jazz;3.59;362;1
1070;1071;Mammal Hands;Floa;27 May 2016;Jazz, ECM Style Jazz;3.59;294;5
1071;1072;Marc Ribot;Asmodeus: Book of Angels Volume 7;26 June 2007;Jazz-Rock, Experimental Rock, Avant-Garde Jazz;3.58;311;6
1072;1073;Terje Rypdal;Waves;1978;Jazz Fusion, ECM Style Jazz;3.63;269;4
1073;1074;Steve Kuhn;Trance;February 1975;ECM Style Jazz, Jazz Fusion;3.67;247;4
1074;1075;EABS;In Search of a Better Tomorrow;12 May 2023;Spiritual Jazz, Jazz Fusion;3.57;898;5
1075;1076;Sun Ra and His Myth Science Arkestra;Fate in a Pleasant Mood;1965;Post-Bop;3.57;573;12
1076;1077;Miles Davis;Seven Steps to Heaven;15 July 1963;Cool Jazz;3.56;1,762;28
1077;1078;McCoy Tyner Trio;Inception;June 1962;Post-Bop;3.58;417;4
1078;1079;Eberhard Weber;Fluid Rustle;24 May 1979;ECM Style Jazz;3.58;283;5
1079;1080;The Caretaker;Everywhere at the End of Time: Stage 1;22 September 2016;Turntable Music, Ambient, British Dance Band;3.52;4,795;37
1080;1081;Min Bul;Min Bul;15 October 1970;European Free Jazz;3.58;398;7
1081;1082;David Torn;Cloud About Mercury;February 1987;Jazz Fusion;3.57;384;9
1082;1083;Charles Mingus;Mingus Plays Piano: Spontaneous Compositions and Improvisations;July 1964;Post-Bop, Third Stream;3.56;1,169;17
1083;1084;Moor Mother;Circuit City;25 September 2020;Jazz Poetry, Free Jazz;3.55;906;5
1084;1085;Albert Ayler;Spirits;1964;Free Jazz, Spiritual Jazz;3.56;711;8
1085;1086;Bill Frisell;Good Dog, Happy Man;18 May 1999;Jazz Fusion, Ambient Americana;3.58;399;7
1086;1087;Anita O'Day;Anita Sings the Most;March 1958;Vocal Jazz, Standards;3.58;345;8
1087;1088;Gary Burton;Passengers;April 1978;ECM Style Jazz;3.64;258;4
1088;1089;Sons of Kemet;Lest We Forget What We Came Here to Do;25 September 2015;Afro-Jazz, Jazz-Funk;3.57;768;5
1089;1090;Dexter Gordon;Dexter Calling...;January 1962;Hard Bop;3.63;290;4
1090;1091;Annette Peacock;X-Dreams;1978;Art Rock, Singer-Songwriter, Jazz Fusion;3.56;477;11
1091;1092;John McLaughlin;Passion Grace & Fire;23 March 1983;Flamenco Jazz;3.57;532;11
1092;1093;Steve Tibbetts;Yr;1980;Jazz Fusion, Progressive Folk;3.58;330;10
1093;1094;Lee Morgan;Lee Morgan, Vol. 3;October 1957;Hard Bop;3.74;250;1
1094;1095;Medeski, Martin & Wood;Friday Afternoon in the Universe;24 January 1995;Jazz Fusion, Jazz-Funk;3.57;350;8
1095;1096;Fire! Orchestra;Enter;26 May 2014;Experimental Big Band;3.55;1,553;13
