;Rank;Artist;Album;Date;Genres;RYM Rating;Ratings;Reviews
2999;3000;Kenso;Yume No Oka (夢の丘);21 October 1991;Jazz Fusion, Progressive Rock;3.60;143;6
3000;3001;François Rabbath;The Sound of a Bass;1963;Avant-Garde Jazz;3.60;126;1
3001;3002;Sonny Simmons;Music From the Spheres;1968;Free Jazz, Avant-Garde Jazz;3.65;123;2
3002;3003;Innercity Ensemble;Katahdin;16 October 2012;Avant-Folk, Avant-Garde Jazz;3.34;177;1
3003;3004;Dale Kruegler;Thug Isolation;1 March 2012;Free Jazz, Noise;2.99;275;
3004;3005;Vienna Art Orchestra;The Minimalism of Erik Satie;1984;Third Stream, Experimental Big Band, Progressive Big Band;3.48;167;3
3005;3006;Jazz Band Młynarski-Masecki;Noc w wielkim mieście;17 November 2017;Warsaw City Folk, Jazz, Big Band;3.51;144;3
3006;3007;Pat Martino;The Visit!;1972;Post-Bop;3.76;115;4
3007;3008;Frank Sinatra;Sing and Dance With Frank Sinatra;16 October 1950;Vocal Jazz, Traditional Pop;3.33;192;4
3008;3009;Herbie Hancock;DirectStep;21 January 1979;Jazz-Funk, Jazz Fusion;3.48;158;5
3009;3010;Masada;ט (Tet);20 February 1998;Avant-Garde Jazz, Post-Bop, Klezmer;3.49;162;1
3010;3011;Aaron Parks;Invisible Cinema;19 August 2008;Jazz, ECM Style Jazz;3.57;158;2
3011;3012;Bill Dixon;Son of Sisyphus;1990;Avant-Garde Jazz, Free Jazz;3.51;150;3
3012;3013; Kim Oki [김오키];Spirit Advance Unit (스피릿선발대);6 July 2019;Spiritual Jazz;3.51;157;1
3013;3014;Ray Charles;Ingredients in a Recipe for Soul;August 1963;Rhythm & Blues, Soul, Soul Jazz;3.55;151;1
3014;3015;Jacob Collier;In My Room;1 July 2016;Progressive Pop, Soul Jazz;2.85;800;10
3015;3016;Adrian Younge;Jazz Is Dead 006;2 April 2021;Jazz Fusion, Jazz-Funk;3.33;171;1
3016;3017;Stan Kenton and His Orchestra;Stan Kenton Presents;1951;Progressive Big Band, Third Stream;3.42;158;3
3017;3018;Adrian Younge;Jazz Is Dead 004;23 October 2020;Jazz-Funk;3.46;144;2
3018;3019;Lee Morgan;Lee Morgan Sextet;May 1957;Hard Bop, Jazz;3.59;145;2
3019;3020;Keith Jarrett;El juicio (The Judgement);1975;Avant-Garde Jazz, Post-Bop;3.47;161;5
3020;3021;Freddie Hubbard;The Black Angel;January 1970;Soul Jazz, Post-Bop, Jazz;3.60;141;2
3021;3022;Jimmy Smith;Further Adventures of Jimmy and Wes;1969;Soul Jazz;3.68;127;2
3022;3023;Archie Shepp;Poem for Malcom;1969;Free Jazz, Avant-Garde Jazz;3.40;167;1
3023;3024;Paga;Paga;1985;Zeuhl, Jazz Fusion;3.60;135;7
3024;3025;Clifford Brown;Jazz Immortal;1956;Hard Bop, Jazz;3.63;146;2
3025;3026;Franz Koglmann;The Use of Memory;1991;Third Stream, Avant-Garde Jazz;3.61;128;
3026;3027;The Thing;Bag It!;16 June 2009;European Free Jazz;3.61;140;1
3027;3028;Wadada Leo Smith;America's National Parks;14 October 2016;Avant-Garde Jazz, Chamber Jazz, Modern Creative;3.60;130;
