did,name,gender
623527,直居隆雄,unknown
33708,Bernie Worrell,male
754605,Satanique Samba Trio,unknown
2687924,Niechęć,unknown
263096,Don Lamond,male
263097,Stan Levey,male
952,Jimi Tenor,male
33726,Foday Musa Suso,male
1770434,David Byrd-Marrow,male
263107,Joe Nay,male
295877,Barry Finclair,male
1770437,Christa Robinson,female
33736,Phillip Wilson,male
33737,Jonas Hellborg,male
295881,Sue Pray,female
164810,나윤선,female
7832532,Jihye Lee Orchestra,unknown
1115118,Matt Hollenberg,male
885743,Monty Waters,male
328685,Reese Wynans,male
1573879,Nia Andrews,female
295930,Lee Young,male
623617,Daniel Farrugia,male
394246,Idris Rahman,male
394249,Robin Hopcraft,male
427022,Gigi Venegoni,male
295958,The Branford Marsalis Quartet,unknown
427039,Viktor Krauss,male
1082410,青柳誠,male
1573932,Michelle Makarski,female
3769397,Lauren Elizabeth Baba,female
328759,Geoffrey Richardson,male
5080123,Grace Kelly,female
885821,Lowell Davidson,male
2360388,Susana Santos Silva,female
361544,Mitch Miller,male
296010,Rune Carlsson,male
296011,Gunnar Bergsten,male
2360394,Kaja Draksler,female
394319,Peter Baumeister,male
2229329,Borlai Gergő,male
99438,Roy Hargrove,male
590959,Ava Mendoza,female
99443,Cheikh Lô,male
427125,Teddy Kotick,male
361592,The Hilliard Ensemble,unknown
2065539,Brian Settles,male
361605,Gordon Jones,male
230534,Wayne Horvitz,male
263304,Per Hillestad,male
230537,Cyro Baptista,male
2983050,Kudret Öztoprak,male
230540,Eszter Balint,female
2000011,Carl Perkins,male
1901709,Emeli Sandé,female
267261,Anita Pointer,female
33933,Andy Connell,male
2229396,Katie Scheele,female
1049749,Jaleel Shaw,male
1213591,Dr. John and the Lower 911,unknown
263320,Øyvind Westby,male
263325,Svein Christiansen,male
3048623,Miho Hazama,female
885937,Harold E. Smith,male
33970,Doug Hammond,male
427209,Julian Priestley,male
33995,Ed Motta,male
459989,Doug de Vries,male
394459,Ismael Quintana,male
394464,Marcelino Guerra,male
394471,Lewis Kahn,male
591083,Pekka Tyni,male
460021,Ariel Kalma,male
984313,Duncan Bellamy,male
984314,Nick Mulvey,male
984315,Milo Fitzpatrick,male
984316,Portico Quartet,unknown
984317,Jack Wyllie,male
3900671,Tumi Mogorosi,male
1311999,Chris Bridges,male
2131207,Mort Fega,male
328977,Willie Jones III,male
263441,Richard Davis,male
263445,Walter Miller,male
263447,James Jacson,male
263453,Damon Choice,male
263454,Michael Ray,male
263455,Noel Scott,male
1836319,Marcos Nimrichter,male
361760,Michael Comins,male
263461,Luqman Ali,male
230694,Marcus Belgrave,male
230693,David Durrah,male
3638563,Kait Dunton,female
263472,Johnny Mandel,male
230725,Bobby Sparks,male
230726,The RH Factor,unknown
394571,Jim Paris,male
394572,Gerry Darby,male
394573,Carmel McCourt,female
689486,Jan Philipp Janzen,male
591191,Timo Paasonen,male
361824,Pete Beachill,male
361827,Abraham Kobena Adzenyah,male
361830,Anthony Davis,male
263532,Moondog,male
394607,David Tronzo,male
394609,Bryan Carrott,male
1396,The Brand New Heavies,unknown
97971,Jean-Philippe Goude,male
1049975,Vincent Davis,male
132473,Harvey Mason Jr.,male
394622,Grant Geissman,male
394623,James Bradley Jr.,male
132482,Irakere,unknown
34183,Carmen McRae,female
1410444,Lars Danielsson,male
99731,John Zorn,male
1475989,Hachig Kazarian,unknown
722331,Sukellusvene,unknown
2590111,Binker Golding,male
984481,Gianni Zilioli,male
656799,Roger Bobo,male
656806,Marcia Van Dyke,female
296362,Rick Gardner,male
656816,Sara Schoenbeck,female
132535,Marc Ribot,male
329160,Charles Johnson,male
329161,Hugo Fattoruso,male
361931,John Dieterich,male
591321,Sergio Barrozo,male
67040,Najee,male
1017318,Camané,male
198122,Clare Connors,female
263663,Universal Congress Of,unknown
1770994,Teddy Davis,male
132603,Michael Franks,male
591361,Mazz Swift,female
591373,Stein Urheim,male
525838,Howard Levy,male
1213967,Jan Reimer,male
296478,Paul Winter,male
296479,Oscar Castro‐Neves,male
329251,George Barrow,male
493115,川島裕二,male
656964,Martin Slavin,male
198223,Jean‐Jacques Birgé,male
427601,Jessica Lurie,female
165461,Jeff Kent,male
3376734,Luis Casalla,male
558698,Bob Weiner,male
263794,Bennie Green,male
263796,Zoot Sims,male
493177,Alex Ligertwood,male
296605,Rudy Copeland,male
296606,Mark Elf,male
1607337,Kristen Schaal,female
362162,Janice Robinson,female
384314,Dead Combo,unknown
3966653,Aaron Burnett,male
3245765,Julius Heise,male
329418,Dixie Dregs,unknown
394967,Ippe Kätkä,male
1214177,Howard McRae,male
1770,Nils Petter Molvær,male
722667,Thierno Koite,male
526066,Martin Winch,male
493299,"木村""キムチ""誠",male
591604,Hans Cleuver,male
67326,Daniel Moreno,male
231167,Ingebrigt Håker Flaten,male
231168,Paal Nilssen-Love,male
296707,Peter Kowald,male
296709,Pierre Favre,male
296710,Irène Schweizer,female
3835660,Åshild Skiri Refsdal,female
263953,Ray Anthony,male
5637910,Mali Obomsawin,female
1818,Bill Summers,male
132900,Nick Moroch,male
2852653,Thiago França,male
5539639,Ishmael Ensemble,unknown
3802941,Fred Jackson Jr.,male
329535,Jean-Paul Asseline,male
296777,本田雅人,male
296794,渕野繁雄,male
886621,Bård Enerstad,male
3540839,Ruben Lopez Furst,male
821141,Tim Albright,male
395165,Ray Edenton,male
1116065,Furio Chirico,male
1116067,Marco Gallesi,male
395174,Bobby Thompson,male
296874,Daniel Kobialka,male
3114923,uKanDanZ,unknown
3114925,Damien Cluzel,male
591795,Neil Ochoa,male
4097973,Vicky Mettler,female
1968057,Miloš Valent,male
165824,Arthur Blythe,male
427973,Margriet Eshuijs,female
427980,Larry Londin,male
427983,Paul Yandell,male
296931,Kristian Schultze,male
2024,Sachiko M,female
165868,Bill Sharpe,male
264175,Jamie Talbot,male
264178,Nigel Hitchcock,male
6424564,The Nels Cline 4,unknown
296954,Roger Kellaway,male
296955,Ruby Braff,male
559103,Roberto Ottaviano,male
3344386,Andy Scott,male
3770372,Boom Tic Boom,unknown
362503,The Charles Lloyd Quartet,unknown
296976,Paul Metzke,male
296986,Michel Pilz,male
296988,Hamiet Bluiett,male
526366,Seppo Tyni,male
854056,Johnathan Blake,male
34858,Hubert Eaves III,male
460837,Pierre Cullaz,male
297009,Ken McIntyre,male
297012,Khan Jamal,male
297015,Andrei Strobert,male
297019,Steve Lake,male
297020,Albert Mangelsdorff,male
297021,Paul Rutherford,male
2108,Thurston Moore,male
297023,Gerd Dudek,male
297025,Günter Christmann,male
460867,Julia Biel,female
5998662,Raina Sokolov-Gonzalez,female
329799,Zbigniew Seifert,male
297035,Eddie Moore,male
297036,Ted Daniel,male
297037,Sirone,male
329809,Chicago Underground Duo,unknown
133206,Batsumi,unknown
362586,Boon Gould,male
1411164,Joe Diorio,male
886877,Jan Eschke,male
231518,Chris Walker,male
2754665,Petar Ugrin,male
395379,Jacek Olter,male
231539,Peter Malick,male
592014,Glenn Grab,male
362639,Komeda Quintet,unknown
1247380,Fernando González,male
2202,El‐P,male
264360,Russ Savakus,male
329898,Mike Zwerin,male
166065,Marcello Giuliani,male
329914,Carlos Averhoff,male
329915,Oscar Valdés,male
329916,Carlos Emilio Morales,male
329917,Jorge Varona,male
329919,Jorge Alfonso,male
952521,Setrak Sarkissian,male
35022,Herb Alpert,male
1116366,Floratone,unknown
985299,Dave Stapleton,male
2265,Roy Ayers,male
2266,George Benson,male
2267,Nuyorican Soul,unknown
231641,Mel Powell,male
5114086,Zac Zinger,male
2689258,Bixiga 70,unknown
362731,Andrzej Trzaskowski,male
1968364,Mário Adnet,male
231672,Yesterdays New Quintet,unknown
599643,Willie Pickens,male
624894,Nick Kirksey,male
428305,Claudia Schmidt,female
362770,Martin France,male
526612,Jacob Young,male
624917,Seneca Black,male
198935,David Moss,male
198936,Guy Klucevsek,male
198937,Tom Cora,male
1083680,Elizabeth Pupo-Walker,female
297257,Leo Gandelman,male
297258,Lincoln Olivetti,male
297259,Marcio Montarroyos,male
264492,Don Pullen,male
264493,Chico Freeman,male
297262,Robson Jorge,male
264494,Kirk Lightsey,male
297269,Jon Hiseman,male
493880,Christer Bothén,male
3541303,Keyon Harrold,male
493884,Bengt Berger,male
362813,Marion Brown Quartet,unknown
220221,Horace Ott,male
264503,Timo Lassy,male
493882,Archimedes Badkar,unknown
264514,Masada,unknown
887100,Peter Wertheimer,male
297288,Darol Anger,male
493920,Simon Niblock,male
493921,Adam Linsley,male
493922,Andy Wood,male
493925,Pete Cater,male
362855,Owen Eugene Marshall,male
264552,Murray Weinstock,male
264553,Marky Markowitz,male
264555,Harvey Estrin,male
264556,Jerry Friedman,male
264563,Laurel Massé,female
264565,Seldon Powell,male
625015,Melvin Davis,male
264567,Mickey Gravine,male
264569,George Young,male
264570,Alan Raph,male
264572,George Dorsey,male
330110,André Orvik,male
35199,Billy Cobham,male
35204,Will Gregory,male
821644,Stan Strickland,male
1116560,José Mário Branco,male
592273,Βασίλης Τσαμπρόπουλος,male
592274,Anja Lechner,female
330138,Chuck Connors,male
493988,Harold Cardwell,male
8260007,Apifera,unknown
330153,The Jimmy Giuffre Trio,unknown
330155,The Chico Hamilton Quintet,unknown
264620,Idrees Sulieman,male
264626,Clifford Jordan,male
362931,Leonard Malarsky,male
362933,Leonard Selic,unknown
362932,Sid Sharp,male
2482,Isabelle Antena,female
690624,Ballaké Sissoko,male
330180,Frank Emilio,male
264647,Steve Swell,male
330211,菅坡雅彦,male
330212,鬼怒無月,male
35301,Paul McCartney,male
2460138,Elina Duni,female
231914,Lucia Minetti,female
231924,Xavier Tribolet,male
788984,Francis Lockwood,male
35328,Sun Ra,male
985619,Oscar López Ruiz,male
1116698,Jussi Liski,male
199202,Michel Portal,male
526883,Gérard Prévost,male
264743,Natalia Lafourcade,female
68140,Bohren & der Club of Gore,unknown
363060,Daniel Zimmermann,male
2591297,Bobby Owens,male
1247810,Taylor Haskins,male
2591302,Donald R. Fields,male
4819528,Joe Armon‐Jones,male
297545,Martin Drover,male
658005,Nathaniel Rosen,male
297571,Gerald Tarack,male
297574,Norman Carr,male
330343,Don Roberts,male
330342,The Four Freshmen,unknown
330345,Jay Migliori,male
133739,Nick Plytas,male
2666,The Dave Pike Set,unknown
6261356,Surprise Chef,unknown
395888,Ian Hamer,male
2787953,Kris Bowers,male
1575539,Igal Foni,male
3279486,Kristjan Randalu,male
1149563,Héctor Starc,male
2263699,Alexander Zethson,male
133783,Chris Dawkins,male
297624,Jonas Kullhammar,male
101028,Phil Collins,male
2296486,Archie Shepp–Bill Dixon Quartet,unknown
264871,Julian Priester,male
461480,John Jack,male
264872,Jimmy Heath,male
1804972,Sachal Vasandani,male
363202,Garnet Mimms,male
297675,Tom Harrell,male
297677,Wolfgang Muthspiel,male
2769,Barry Adamson,male
330452,Ben Davis,male
297693,Philip Catherine,male
166628,Norman Granz,male
1346276,Ville Herrala,male
2689766,Aruán Ortiz,male
920310,David Baker,male
396024,Elliott Golub,male
396025,Everett Zlatoff-Mirsky,male
4033276,Electrocution 250,unknown
68349,Brigitte Fontaine,female
363266,Wilbur Harden,male
6523652,Francesca Uberti,female
527119,Fabrizio Spera,male
264987,Mike Deasy,male
822047,高木元輝,male
822048,土取利行,male
264993,Joe Clayton,male
2198306,堀井勝美,male
264996,James Mingo Lewis,male
592679,Fred Stone,male
494377,Michael Manring,male
265001,Larry Corbett,male
3640106,Machi Rufino,male
2132794,Paul Chambers Quartet,unknown
265023,Jordi Sabatés,male
1051461,Talib Qadr,male
494406,Med Flory,male
265055,Dennis Chambers,male
265057,Joseph Bowie,male
297831,Cochemea,male
2362233,Lalle Larsson,male
1969021,Jean-Jacques Duerinckx,male
1706892,I.C.P.-Tentet,unknown
297875,Emlyn Singleton,female
5606301,Gregorio Golinsky,male
265119,The Waters,unknown
363433,Ack van Rooyen,male
658351,Barbara Wojirsch,female
134069,Simon Shaheen,male
199605,Chris Botti,male
101307,Jason Roebke,male
330687,Kjell Nordeson,male
330698,Bobby Tucker,male
330701,Buddy Cole,male
527311,Terri Quaye,female
297950,Charlie Sexton,male
953316,Barbara Donald,female
199656,Jamie Saft,male
6032368,Jacob Mann,male
1641463,Cooper Crain,unknown
297977,George Bohanon,male
1543168,Peter Dauelsberg,male
297986,Bob Sanov,male
1117190,John Tchicai and Cadentia Nova Danica,unknown
297991,Israel Baker,male
1117192,Anthony Barnett,male
297993,Ken Yerke,male
1117195,Ole Kühl,male
232460,Elliot Rosoff,male
363533,Richard Egües,male
297997,Vincent DeRosa,male
6884366,Kalia Vandever,female
1117203,Jon Finsen,unknown
1117202,Michael Schou,male
298005,Bonnie Douglas,female
298006,Charles Veal Jr.,male
265235,Jack Kerouac,male
298013,The Tony Williams Lifetime,unknown
298014,Ted Dunbar,male
363550,Barbara Massey,female
298025,Ira Siegel,male
429108,Jeff Babko,male
1018934,Eirik Hegdal,male
232503,松武秀樹,male
1018937,Trondheim Jazz Orchestra,unknown
3148862,David Schnee,male
298054,Armen Halburian,male
1707082,Dan Kelley,male
2034770,Michael Lutzeier,male
1248346,Hornheads,unknown
2886748,Max Zenger,male
1608797,New York Contemporary Five,unknown
298082,Stomu Yamashta's Go,unknown
298099,Marc Johnson,male
298100,Enrico Pieranunzi,male
363645,Ringo Thielmann,male
298119,Amancio D’Silva,male
298120,The New Jazz Orchestra,unknown
265354,Shelly Manne,male
3214,DJ Spooky,male
167055,Yusef Lateef,male
35990,Baby Face Willette,male
1936534,Aytaç Doğan,male
625817,関根真理,female
7081114,Fergus McCreadie,male
232601,Abdissa Assefa,male
429216,Basile Leroux,male
3233,Les Baxter,male
298145,Jay Clayton,female
265380,Stu Williamson,male
265381,Bill Holman,male
265384,Monty Budwig,male
265385,Jimmy Rowles,male
265386,Lawrence Marable,male
265387,Bill Perkins,male
265388,Don Fagerquist,male
265390,Mel Lewis,male
265391,Russ Freeman,male
494772,富倉安生,male
332804,Paolo Fresu,male
1838264,Paul Jackson,male
5672122,今込治,male
527548,Alex Puddu,male
232645,Mike Mainieri,male
396486,Rob Verdurmen,male
363721,Gene Edwards,male
396491,Andreas Altenfelder,male
265422,Larry Bunker,male
265424,Bob Neel,male
265425,Bob Brookmeyer,male
396497,Willem Breuker Kollektief,unknown
1641684,Lubomír Dorůžka,male
1772757,Dulce Pinto Bressane,female
3902696,Rosie Turton,female
298230,Brian Mitchell,male
5147902,Sarathy Korwar,male
298245,Victor Lewis,male
68870,Fonce Mizell,male
68871,Larry Mizell,male
331013,Chris Lightcap,male
1051924,PSI,unknown
691480,Luiz Carlos Batera,male
429335,June Kuramoto,female
199971,Sam Shalabi,male
757028,Ulrich Lask,male
494883,Billy Fender,male
101667,Anita Lane,female
4394281,Troy Andrews,male
331053,Tom van der Geld,male
331055,Eje Thelin,male
232760,Gilius van Bergeijk,male
68925,Defunkt,unknown
36158,Gwen Stefani,female
2100544,Teemu Mattsson,male
101697,Lance Ferguson,male
265561,Alex Cline,male
1674586,Włodzimierz Nahorny Trio,unknown
396636,Johnny Clegg,male
363874,Marti Sweet,female
3247466,Maria Schneider,female
3509625,Etienne de la Sayette,male
3452,MFSB,unknown
888190,Paul Ricci,male
1052032,Bob Flanigan,male
494981,Hannes Kottek,male
494984,Harry Sokal,male
2559368,Ashley Walters,female
331144,Julian Schnabel,male
2330000,Éditus,unknown
2854290,Marja Burchard,female
494995,Lauren Newton,female
101784,Osibisa,unknown
265629,Hank Jones,male
363935,Kim Paterson,unknown
265634,Art Tatum,male
167331,NOMO,unknown
265637,Buck Clayton,male
1281446,Jimmy Rowles and His Orchestra,unknown
265641,Flip Phillips,male
658862,浅川マキ,female
265659,Richie Morales,male
363970,Lois Martin,female
265667,Mahalia Jackson,female
593357,Pekka Pohjola Group,unknown
265678,Alberta Hunter,female
265683,Charlie Shavers,male
101845,Rashad Smith,male
3545,John McEntire,male
1543644,"Charles ""Chick"" Ganimian",male
1117660,Emmanuelle Parrenin,female
3550,Jim O’Rourke,male
5148138,Catherine Cho,female
1510909,Eudice Shapiro,female
331268,Herb Robertson,male
331272,Tobias Delius,male
396809,伊集加代,female
1838609,Gigi Berendt,female
462360,Jenny O’Grady,female
232991,Giorgio Gomelsky,male
1084969,Max Sunyer,male
2035247,Stefan Dittlein,male
233016,John Handy,male
1084991,Klaus Gesing,male
560713,New Trolls,unknown
265802,Bill Plummer,male
1314381,Blood Sweat Drum'n'Bass Big Band,unknown
298574,Caiphus Semenya,male
364117,Edgar Hofmann,male
364119,Dieter Miekautsch,male
364122,Butze Fischer,male
167516,Pete Levin,male
364124,Christian Burchard,male
1183324,Sangeeta Bandyopadhyay,female
855655,Geert Budts,male
855656,Fré Madou,male
1937008,Kris Davis,female
1019513,Martin Schelling,male
69270,Spanky,male
626337,Philip De Groote,male
364194,Manuel Galbán,male
3747,Walter Wanderley,male
364196,Joachim Cooder,male
364198,"Miguel ""Angá"" Díaz",male
3750,Cal Tjader,male
3753,Nicola Conte,male
364202,Orlando “Cachaíto” López,male
921259,Bradley Grant,male
3756,Marcos Valle,male
3783,Edu Lobo,male
954055,Lester Bowie’s Brass Fantasy,unknown
1314506,Aaron Parks,male
560852,Matthias Frey,male
3802,Yurai,female
102125,John McLean,male
2985714,7for4,unknown
298772,Teddy Osei,male
659220,Ernst Glerum,male
3865,Herbie Hancock,male
2101019,Melissa Aldana,female
3880,Money Mark,male
3882,Damon Albarn,male
7016236,Tim Carnegie,male
855867,The Last Electro‐Acoustic Space Jazz & Percussion Ensemble,unknown
397123,Kenny Rice,male
331605,Michael Cain,male
528224,Tommy Goldschmidt,male
692084,Theo Loevendie,male
102261,野崎良太,male
1249160,T‐SQUARE,unknown
59407,George Shearing,male
429973,Steve Hammond,male
364459,Tracy Wannomae,unknown
298931,Joe Harriott,male
528312,Neal Creque,male
266172,Naná Vasconcelos,male
364476,Stanley Cowell Trio,unknown
266173,David Rosenboom,male
298943,Bobby Jaspar,male
298945,Charles Saudrais,male
528317,Norberto Apellaniz,male
298939,Jean‐Louis Viale,male
397252,Brad Warnaar,male
364485,カルロス菅野,male
167876,Arthur Verocai,male
298951,Chuck Loeb,male
2002909,Rickey Kelley,male
135146,Michael Aaberg,male
69621,Tom Scott,male
36862,King Curtis,male
36863,Julie London,female
36865,Louis Prima,male
1478658,איתמר דוארי,male
1478659,Karen Malka,female
4099,Bobby Broom,male
561153,Ingrid Laubrock,female
1052680,Alberto Martinez,male
561166,Rens Newland,male
888847,Wayne Shorter Quartet,unknown
1839122,Jörgen Renhorn,male
6328344,Mildlife,unknown
299035,Ivar Johansen,male
364574,Jay Oliver,male
69687,Yvonne Lewis,female
200762,Andy Newmark,male
200763,Gloria Agostini,female
200764,Dave Bargeron,male
200765,Hugh McCracken,male
200766,Lew Soloff,male
200767,David Nadien,male
200768,Emanuel Green,male
200770,Max Ellen,male
200772,Marvin Stamm,male
200773,Harry Cykman,male
200774,Alan Shulman,male
200776,Charles McCracken,male
200777,Lewis Eley,male
200778,Jerry Dodgion,male
200775,Frederick Buldrini,male
200779,Jeff Mironov,male
200781,John Frosk,male
200782,Matthew Raimondi,male
200783,Eddie Daniels,male
200784,Wayne Andre,male
200786,Harold Kohon,male
528479,L’Infonie,unknown
561250,Corey Mwamba,male
2494564,Hareton Salvanini,male
495721,Sola Akingbola,male
1609837,Jay Richford,male
200815,Charles Mingus,male
200818,Anthony Braxton,male
1544337,Floating Points,male
266403,"Paul Jackson, Jr.",male
364711,Stéphane Galland,male
364715,Chander Sardjoe,male
1413304,Robert Stanley,male
69826,Fred Maher,male
299211,Alan Gowen,male
299212,National Health,unknown
1183948,Taito Vainio,male
1282254,Andrés Boiarsky,male
299215,Soft Heap,unknown
889039,Bill Cantos,male
1085651,Dedalus,unknown
37079,Ray Simpson,male
1413339,Doug Raney,male
397535,Amilton Godoy,male
364776,Chauncey Westbrook,male
364778,Johnny Acea,male
364779,Pedro Paulo,male
364780,Herman Foster,male
299243,Vincent Ségal,male
561392,Brian Blade Fellowship,unknown
1184005,Matt Roberts,male
69896,Painkiller,unknown
135434,Preston Glass,male
4690189,Johan Lindvall,male
626965,Radka Toneff,female
463142,Branislav Kovačev,male
1610023,Marielle Rivard,female
463152,André Ceccarelli,male
692529,Henry Schuman,male
102709,Michael Palin,male
4417,Mick Harris,male
561475,Richard Thompson,male
5902664,Oscar Jerome,male
2232651,Émile Parisien,male
758093,Per “Ruskträsk” Johansson,male
561491,Jonas Gwangwa,male
168290,Sandeep Chowta,male
1315176,James Kwaku Morton,male
1315178,Richard Neesai Botchway,male
1315179,Nat Hammond,male
790890,Tomasz Ziętek,male
1806717,Hans Hulbækmo,male
4478,DJ Shadow,male
4362623,Bremer/McCoy,unknown
4264321,Marcos Rodriguez,male
954763,James Zollar,male
430477,Wyatt Ruther,male
201108,Percy Jones,unknown
397728,Naomi Star,female
