did,mid,name,year,gender,country
301721,385567,Jim Buffington,1922,1,United States
563867,449709,Roger Wilkie,,1,United States
301724,4184,Bill Watrous,1939,1,United States
301725,991991,Jack Jennings,,1,United States
268962,48863,Terje Rypdal,1947,1,Norway
268963,53725,Arild Andersen,1945,1,Norway
432806,981952,Julián Corrales Subidá,,1,Cuba
432808,981936,Yanko Pisaco Pichardo,,1,Cuba
563882,364965,Liberty Ellman,1971,1,United States
563881,394257,Rudresh Mahanthappa,1971,1,United States
1415849,39335,Mingus Big Band,1991,,United States
301742,943151,David Abel,,1,United States
432818,672500,Lázaro Villa,,1,Cuba
236212,23980,"Grover Washington, Jr.",1943,1,United States
432820,2051460,Lino Borges,1933,1,Cuba
268985,777192,Jacques Schols,1935,1,Netherlands
432829,981937,Alejandro Pichardo Pérez,,1,Cuba
1120958,845844,Ellen Westermann,,2,United States
432833,1911293,Filiberto Sanchez,,1,Cuba
268995,470029,Hélcio Milito,1931,1,Brazil
301764,38780,Dori Caymmi,1943,1,Brazil
301770,613577,Sam Brown,1939,1,United States
1546956,2433040,Scott Thomson,1974,1,Canada
400081,1030942,Tom Salisbury,,1,Netherlands
269015,61074,David Fiuczynski,1964,1,Northampton
334552,5331,Fred Hersch,1955,1,United States
334551,369759,Nasheet Waits,1971,1,United States
858843,383622,Kenneth Burward‐Hoy,,1,United States
858849,995500,Jerry Epstein,,1,United States
498408,1921687,Erwin Vervaecke,,1,Belgium
531177,622644,Catherine Marks,,2,London
334574,521202,Joe Howard,1919,1,United States
334576,711096,Ted Nash,1960,1,United States
1448696,1271464,The Andrzej Trzaskowski Quintet,,,Poland
170754,15666,Tony Bennett,1926,1,United States
3152654,1137608,Münchner Alphornkollektiv,,,Germany
236305,114832,Kem,1969,1,United States
334610,569730,Mikael Jakobsson,,1,Finland
334611,443314,Severi Pyysalo,1967,1,Finland
334612,299093,Kim Rantala,1971,1,Finland
2530069,872046,岡本郭男,1955,1,Japan
72480,118102,Jerome Richardson,1920,1,United States
3644195,1111942,Simon Guzmán,,1,New York
1416000,884756,月光恵亮,1952,1,Japan
2693981,1708833,Seth Weaver,,1,United States
498528,1043975,Karen Street,,2,United Kingdom
4496233,1885004,Dan Urness,,1,New York
924522,261806,Jutta Hipp,1925,2,Germany
564076,1198726,Daudeth Azevedo,1932,1,Brazil
2694006,2063297,José Aponte,,1,United States
498557,310184,Mike Coykendall,1963,1,United States
3382167,1390936,Erik van Geer,,1,Netherlands
3382169,1331450,Trigg & Gusset,,,Delft
269211,6242,Larry Coryell,1943,1,United States
269216,1013429,Danny Toan,1951,1,United States
269218,656012,Jeff Kievit,,1,United States
367524,833684,Ralf Hübner,1939,1,Germany
269222,415713,Ahmed Abdullah,1946,1,United States
269221,1855122,Joe Rigby,1940,1,United States
269223,1897762,The Legendary Master Brotherhood,,,United States
269228,534632,Alan Silva and The Celestrial Communication Orchestra,,,United States
629690,753297,Thomas Hukkelberg,,1,Norway
465856,703775,Martin Kratochvíl,1946,1,Czechia
596931,110600,佐藤允彦,1941,1,Japan
596933,941676,鈴木宏昌,1940,1,Japan
596941,886550,猪俣猛,1936,1,Japan
334798,549431,John Mulkerin,,1,United States
236495,816203,"Gregory ""Sugar Bear"" Eliot",,1,United States
203739,30419,Maxine Nightingale,1952,2,United Kingdom
3677159,1571080,Ambroos De Schepper,1994,1,Belgium
269288,386102,Derek Watkins,1945,1,United Kingdom
269287,657453,Martin Kershaw,1944,1,United Kingdom
433140,2415051,Jose Jimenez,,1,United States
269321,179160,Sacha Distel,1933,1,France
334862,399751,Myles Boisen,1956,1,Oakland
203791,441724,Talib Kibwe,1953,1,United States
302097,2298338,Billy Kaye,1932,1,United States
302096,1506589,Butch Cornell,1941,1,United States
334876,597430,Jason Lindner,1973,1,United States
334877,187270,Jimmy Greene,1975,1,United States
334878,625219,עמוס הופמן,1970,1,Israel
334880,805457,אבי ליבוביץ',1972,1,Israel
334886,763263,Kenji Bunch,1973,1,United States
334888,963692,Eric McPherson,,1,United States
236601,203823,Fred Van Hove,1937,1,Belgium
269369,142665,Bossa Rio,1961,,Brazil
269371,1078830,Kevin Osborne,,1,United Kingdom
695363,424529,Mike Adcock,1950,1,United Kingdom
728132,1941278,DJ Wojak,,1,Poland
564291,744193,Tamia,1947,2,France
728135,628065,Wojciech Mazolewski,,1,Poland
236623,375885,John Taylor,1942,1,United Kingdom
367705,1167821,Johannes Fink,1964,1,Germany
367707,865421,Daniel Erdmann,1973,1,Germany
367711,459454,Mika Kallio,1974,1,Finland
629858,993353,Dom Chacal,,1,Brazil
466022,897216,Jamal Moss,,1,Chicago
367722,646388,Kevin Mulligan,1952,1,Belgium
269417,374918,Patrick Dillett,,1,United States
334965,847154,Anne LeBaron,1953,2,United States
367736,757778,Anthony Sophos,1923,1,United States
6134905,2123426,Jabrille Williams,,1,United States
302202,885266,Sarah Adams,,2,United States
6134904,2362023,David McGraw,,1,United States
2792573,2392431,Wayne Graham,,1,United States
302207,481283,Martha Mooke,,2,United States
466054,1221865,Manfred Long,,1,France
269449,1421702,José Carlos,,,Brazil
892049,302415,Janne Louhivuori,1954,1,Finland
367763,1148798,Tommy Hunter,,1,United States
662674,991236,Walter Hack,,1,Brazil
236692,2263188,Michael Hughes,1958,1,United States
597142,936185,Steve Davis,1967,1,United States
7321,1150740,菊地雅章,1939,1,Japan
2202778,1463111,Niamh Molloy,,2,Ireland
302245,1091030,Jo Francken,1970,1,Belgium
466100,844241,Steve Adams,1952,1,United States
138421,352613,Josie James,,2,United States
1580215,610516,Joaquim Monte,,1,Portugal
531643,453007,Ultralyd,2004,,Norway
40135,294522,Conny Plank,1940,1,Germany
728264,356738,Ramon Flores,,1,Mexico
72922,399027,Jason Kahn,1960,1,Zurich
105692,578825,Gerry Brown,1951,1,United States
236764,121760,Jon Mark,1943,1,United Kingdom
793830,628815,Helge Norbakken,1965,1,Norway
597273,560158,Jukka Tolonen Band,,,Finland
269597,4474,Artie Shaw,1910,1,United States
302367,672313,Patricia Dallio,1958,2,France
302368,1877185,Alain Eckert,,1,France
400677,383638,Birch Johnson,,1,United States
1350950,1097221,Gareth Flowers,,1,United States
40235,130626,Hubert Laws,1939,1,United States
1383724,1744207,Steve Katz,,1,United States
269616,35479,Mae McKenna,,2,United Kingdom
302399,48615,Tom Coster,1941,1,United States
1908034,1377101,Robert Lockart,,1,United States
531791,203721,Peter Schulze,1947,1,Germany
3087696,1960235,Peter Rikkers,,1,Netherlands
2006356,1049328,Ray Suen,1985,1,United States
236892,152274,Theo Travis,1964,1,United Kingdom
1121634,929445,Adam Jędrzejowski,,1,Poland
1318246,1702391,Qmillion,,1,United States
335207,857768,Marty Paich Orchestra,,,United States
367982,549290,Marty Sheller,1940,1,United States
630133,481395,Gianluigi Trovesi,1944,1,Italy
531837,1323760,Josh Berman,1972,1,United States
793982,727716,Fritz Fey,,1,Germany
204170,226087,Jason Miles,1952,1,United States
40336,24163,Swing Out Sister,1985,,United Kingdom
302494,939110,Rod Levitt,1929,1,United States
302495,554152,Al Epstein,1921,1,United States
302498,411583,Carl Fontana,1928,1,United States
1154468,1038943,岡崎広志,,1,Japan
368045,4970,Polar Bear,2004,,United Kingdom
368046,451506,Sebastian Rochford,1973,1,United Kingdom
499135,5404,Mike Wofford,1938,1,United States
302528,676933,Augie Johnson,1948,1,United States
892352,607608,Jim Herndon,,1,United States
3251663,326530,Arooj Aftab,1985,2,Brooklyn
925140,1063098,William Lockhart,,1,United Kingdom
368085,457986,Amedeo Tommasi,1935,1,Italy
269802,5460,Joe Venuti,1903,1,United States
1220078,271548,ግርማ በየነ,,1,United States
859638,637221,小埜涼子,1975,2,Japan
302596,660593,Colin Hodgkinson,1945,1,United Kingdom
1482249,693451,Yoshie Fruchter,1982,1,United States
597514,1365345,Emmett Kelly,,1,United States
728593,956712,Donald Coleman,1939,1,Germany
138771,366411,Mike Mandel,,1,United States
695824,536645,Salah Ragab,1936,1,Egypt
400934,1728461,Henry Warner,1940,1,United States
269868,262725,Gunther Schuller,1925,1,United States
302637,953493,The Starlighters,1946,,United States
433709,525891,Israel Crosby,1919,1,United States
302641,42454,Terry Snyder,1916,1,United States
400948,1496822,Kamau Adilifu,1944,1,United States
7734,117570,The Caretaker,1974,1,United Kingdom
368184,183776,Benny Carter and His Orchestra,,,United States
990781,1545677,Robbe Kieckens,,1,Belgium
302660,228328,The Stan Tracey Quartet,,,United Kingdom
2924106,1985213,Wojtek Kurek,,1,Poland
3219024,1569443,Lennart Heyndels,1990,1,Belgium
302675,69089,Felix Slatkin,1915,1,United States
7779,33877,Penguin Cafe Orchestra,1973,,United Kingdom
3579493,1542208,Carsten Meinert Kvartet,,,Denmark
138861,1021360,Deborah McDuffie,,2,Jacksonville
7249529,1674640,Azmari,2013,,Belgium
269949,362,Brian Setzer,1959,1,United States
532096,1545736,Bruce Brown,,1,Australia
335496,331627,Hal McKusick,1924,1,United States
335501,975660,Walt Levinsky,1929,1,United States
73358,584814,Michael Frondelli,,1,United States
433832,604167,Shalini Vijayan,,2,United States
892597,1643176,Stefan Gocht,,1,Germany
368318,431369,Julie Penner,1976,2,Canada
73414,382622,Andy Hernandez,1963,1,Puerto Rico
925385,1532927,Will Davis,1926,1,United States
4169419,576224,Somi,1979,2,United States
990925,495101,Karel Růžička,1940,1,Czechia
8036050,2438761,Ariel Bart,1998,2,United States
368343,640033,Jay Rosen,,1,United States
368350,957909,Jerry Kessler,,1,United States
368353,887503,Shari Zippert,,2,United States
892643,1232003,Ellen Payne,,2,United States
270053,969586,Bruno Carr,1928,1,United States
270054,415204,Donald “Duck” Bailey,1934,1,United States
466661,1622049,Chuck Metcalf,1931,1,United States
401127,557974,Papa Dee Allen,1931,1,United States
401128,557975,Harold Brown,1946,1,United States
401129,557978,Charles Miller,1939,1,United States
368366,1028387,Samuel Boghossian,1920,1,United States
401135,463463,Curtis Hasselbring,1965,1,United States
499441,561893,Ivo van der Werff,,1,United Kingdom
499442,679953,Malcolm Strachan,,1,United Kingdom
171780,167894,Jamaaladeen Tacuma,1956,1,United States
761606,531608,穂口雄右,1948,1,Japan
335628,971407,Jimmy Abato,1919,1,United States
335630,64942,Will Bradley,1912,1,United States
958252,225222,The Roscoe Mitchell Art Ensemble,,,United States
335665,603837,Matty Matlock,1907,1,United States
1253172,1787210,Anna Lindal,1954,2,Sweden
335674,48162,Artie Shaw and His Orchestra,,,United States
499514,964932,Dré Pallemaerts,1964,1,Belgium
1122117,1017686,Bill Vitt,,1,San Francisco
139087,218319,Els Himma,1940,2,Estonia
565076,495511,Jean-Christophe Maillard,1967,1,France
73564,287943,Karl Berger,1935,1,Germany
529140,910075,Torsten Eckerman,1945,1,Sweden
171879,154720,Donny Gerrard,1946,1,United States
434025,383636,Juliet Haffner,,2,United States
270183,916684,Murray McNabb,1947,1,New Zealand
204657,35852,Heiner Goebbels,1952,1,Germany
106356,356819,Bobby Few,1935,1,United States
1023864,908449,市川秀男,1945,1,Japan
597892,815291,Brian O’Connor,,1,United States
302994,669356,Jay Bellerose,,1,United States
1548183,870781,Guillaume Magne,,1,France
303009,629449,Jackie Williams,1933,1,United States
335785,32527,Denny Zeitlin,1938,1,United States
499627,237895,Hughes de Courson,1946,1,Kuala Lumpur
532413,357150,Katia Labèque,1950,2,France
270271,44003,Kenny Kirkland,1955,1,United States
401348,1366935,Eric Faes,,1,Belgium
597967,385767,Donnie Herron,1962,1,United States
139219,143671,Oscar Brown Jr.,1926,1,United States
237521,1148384,Douglas Ewart,1946,1,United States
401375,1128802,Laurence Cook,1939,1,United States
434143,787838,Lil B,1989,1,United States
270309,309398,Marc Anderson,1955,1,United States
270317,40834,Steve Tibbetts,1954,1,United States
270316,383631,Lawrence Feldman,1950,1,United States
3874796,1257600,Silvan Strauß,,1,Germany
3874800,1258834,Josef Ressle,1986,1,Germany
335860,216157,Diego el Cigala,1968,1,Spain
401400,1961774,William Slapin,1929,1,United States
401411,203698,Djeli Moussa Diawara,1962,1,Guinea
270339,961470,Wolfgang Schlüter,1933,1,Germany
4005893,2596857,The AACM Great Black Music Ensemble,,,United States
4005894,1142347,Benjamin Lamar Gay,,1,Chicago
630795,753789,Xavier Desandre-Navarre,1961,1,France
172055,349423,Lisa Papineau,,2,United States
368682,774609,The Awakening,,,Chicago
2072628,2245719,Cesar G. Villela,,1,Brazil
335926,7354,Melvin Rhyne,1936,1,United States
270390,355636,Mark Prator,,1,United States
303163,146333,Andy González,1951,1,United States
303162,339518,Dafnis Prieto,1974,1,Cuba
2269242,2520617,Pekka Ojamaa,1947,1,Finland
204875,333316,益子樹,,1,Japan
893008,627991,Mikołaj Trzaska,1966,1,Poland
8275,40243,The Poets of Rhythm,1992,,Germany
106584,385571,Burt Collins,1931,1,United States
8284,3417,Sarah Vaughan,1924,2,United States
598110,1455595,Maleem Boubker Ghania,1927,1,Morocco
8289,47355,Bugge Wesseltoft,1964,1,Norway
663652,1336007,George Brown,,1,United States
303209,506045,Machito,1908,1,New York
532585,230287,Ted Greene,1946,1,United States
401552,597375,Butch Ballard,1918,1,United States
41106,300925,Bill Schnee,1947,1,United States
368789,23569,Tony MacAlpine,1960,1,United States
368799,431414,Fred Selden,,1,United States
368806,947845,Sam Falzone,1933,1,United States
2072751,1707360,はぐれ雲永松,,1,Japan
2072752,1522100,Satoko Fujii Orchestra Tokyo,,,Japan
2072753,1750064,渡辺隆雄,,1,Japan
303282,236022,Matt Chamberlain,1967,1,United States
336054,5784,Richard Greene,1942,1,United States
4858042,1646973,Tomás Cruz,,1,Brooklyn
1548484,863663,Mndsgn,1988,1,United States
1745094,591647,村川ジミー,,1,Japan
4858059,1646986,Roland Burks,,1,Cairo
303309,1530502,Joel Brandon,1947,1,United States
1450189,453486,Gatto Marte,,,Italy
336079,987013,Kevin Norton,1956,1,United States
237782,856899,Mark Fitzgibbon,1963,1,Australia
1646810,2056570,Fred Jacques,,1,Belgium
762076,390396,Dan Fornero,,1,United States
303328,653636,Mike Krowiak,,1,United States
1548513,637219,Sax Ruins,2006,,Japan
2138342,1906192,Gerhart Ziegler,,1,Germany
41193,109792,Sunbirds,1971,,Germany
41201,48221,Klaus Doldinger,1936,1,Germany
8435,349971,Eero Koivistoinen,1946,1,Finland
4268278,1883893,Isaiah Barr,,1,United States
336120,1656599,Rob Crowder,,1,Chicago
336122,782282,Gerry Niewood,1943,1,United States
336123,366519,George Adams,1940,1,United States
401662,557976,B.B. Dickerson,1949,1,United States
336136,574891,Keshavan Maslak,1947,1,United States
1766676,505302,Daniel Panner,,1,United States
270608,968238,David Horowitz,1942,1,United States
270609,1015152,Elvin Campbell,,1,United States
401682,294351,John Parricelli,1959,1,United Kingdom
336146,838152,J.D. Parran,,1,United States
270610,90665,Georg “Jojje” Wadenius,1945,1,Sweden
336152,985438,Charles Bobo Shaw,1947,1,United States
41248,40449,Babatunde Lea,1948,1,United States
41249,3369,Eddie Harris,1934,1,United States
336160,1349248,Cheikh Tidiane Fall,1946,1,Senegal
336165,186995,David S. Ware Quartet,,,United States
303402,763982,日野皓正,1942,1,Japan
5841196,1796162,On The Raw,,,Barcelona
1286445,545494,Prism,1975,,Japan
631086,962736,Warren Lash,,1,United States
1286444,872073,和田アキラ,1956,1,Japan
303409,501470,Byron Stripling,1961,1,United States
1679665,408694,Craig Woods,,1,United States
303413,47656,Paquito D’Rivera,1948,1,United States
303416,732980,Craig Handy,1962,1,United States
303419,446115,Daniel Sadownick,,1,United States
303420,603978,Gary Smulyan,1956,1,United States
500040,965952,David Speltz,,1,United States
500043,995527,Clayton Haslop,,1,United States
3547476,953989,Mike Holober,1957,1,United States
926046,1555727,Nate Smith,,1,United States
369006,645760,Tim Keiper,,1,United States
696701,453284,Ndikho Xaba,1934,1,South Africa
1483135,1140337,Stefan Pasborg,1974,1,Denmark
2367872,1581246,Xavier Rogé,1979,1,Belgium
369026,470167,Sylvie Courvoisier,1968,2,United States
369027,879572,Oscar Noriega,,1,United States
434564,383770,Koji Egawa,,1,United States
369029,1522898,Karen Borca,1948,2,United States
8581,69025,Daedelus,1977,1,United States
369031,416812,Charles Gayle,1939,1,United States
8590,71122,Adam Rudolph,1955,1,United States
172436,325655,Rick van der Linden,1946,1,Netherlands
1352085,1435957,Judith Hamann,,2,Melbourne
336280,474909,Mark Orton,,1,United States
237977,120176,Teo Macero,1925,1,United States
237979,557988,Robert Irving III,1953,1,United States
106909,45764,Jack Bruce,1943,1,United Kingdom
237981,43332,Palle Mikkelborg,1941,1,Denmark
500129,948161,Ludovic Lanen,,1,France
434596,1556764,David Wallumrød,1977,1,Norway
401838,1722603,Sandy Torano,,1,United States
401841,111311,Lew Del Gatto,1941,1,United States
500146,1730313,Greg Ward,1982,1,United States
41401,367030,Carmell Jones,1936,1,United States
41402,64180,Novi Singers,1964,,Poland
106940,144256,Michael Omartian,1945,1,United States
41408,142613,Wolfgang Dauner,1935,1,Germany
139716,421214,Guillermo E. Brown,1976,1,United States
336325,637843,Harry Bluestone,1907,1,United Kingdom
41415,276123,Francy Boland,1929,1,Belgium
434633,480259,Allan Zavod,1945,1,Australia
41417,63504,Karin Krog,1937,2,Norway
3350989,964785,Melt Yourself Down,2012,,United Kingdom
4006352,465710,Count Basie and His All American Rhythm Section,,,United States
532955,399747,Ara Anderson,,1,United States
434653,267246,Joan Jeanrenaud,1956,2,United States
74207,81793,Billy Sheehan,1953,1,United States
74208,81792,Frank Gambale,1958,1,Australia
74210,52792,Lenny White,1949,1,United States
74212,81789,Buster Williams,1942,1,United States
467427,162026,Leszek Możdżer,1971,1,Poland
303589,54133,Gordian Knot,1998,,United States
74213,24088,Mark Isham,1951,1,United States
3580396,2174710,George Wrench,,1,United Kingdom
958959,579770,Tony Overwater,1965,1,Netherlands
5218801,2530139,Nick Neuburg,,1,New York
6169076,1599312,Tcheser Holmes,,1,Brooklyn
926197,501467,James Chirillo,1953,1,United States
8699,1840,Astrud Gilberto,1940,2,Brazil
41468,23504,Galactic,1994,,United States
270855,507468,Emanuel Vardi,1915,1,United States
270854,962762,Lamar Alsop,1928,1,United States
270857,385280,Charles Libove,,1,United States
270858,385582,Paul Gershman,,1,United States
1843725,1010392,Matt Thame,,1,United Kingdom
6464014,1658467,R+R=NOW,,,United States
401934,408685,Bernie Dresel,1961,1,United States
270862,81949,Art Baron,1950,1,United States
270871,1004950,"Moulay ""Ali"" Hafid",,1,United States
369170,463134,Marc Quiñones,1971,1,United States
336410,496633,Maria Schneider,1960,2,United States
1909278,375238,Vital Tech Tones,,,United States
336415,70203,Buddy Morrow,1919,1,United States
401951,425622,Phil Magnotti,,1,United States
107042,269820,Russ Titelman,1944,1,United States
3744297,1168931,Sebastian Noelle,,1,United States
2007596,749081,Sofia Jernberg,1983,2,Sweden
467502,489655,Jean-Louis Matinier,1963,1,France
2597429,1007250,Ville Vannemaa,,1,Finland
4465237,1636391,福盛進也,1984,1,Japan
8796,3838,Material,1978,,United States
336477,240356,Michelle Kinney,,2,United States
107102,3011,Rickie Lee Jones,1954,2,United States
270951,66628,Madlib,1973,1,United States
1614443,1083926,The Sounds of Awareness,,,United States
1385084,602014,Floating Points,,1,United Kingdom
172673,478904,Paul Vincent,1950,1,Germany
369294,811619,Muhammad Ali,1937,1,United States
271001,305169,Al Foster,1943,1,United States
74393,34973,Noa,1969,2,Israel
271005,66046,Johnny Pacheco,1935,1,Dominican Republic
7709343,1504727,Lowering,2016,,New York
271017,468360,Jack Nimitz,1930,1,United States
893613,1443884,Andrew Lolya,1930,1,United States
271022,846179,Bernie Glow,1926,1,United States
271027,364224,Ernie Royal,1921,1,United States
271031,937267,Joseph Bennett,,1,United States
271033,937275,Louis R. Mucci,1909,1,United States
697017,304733,William S. Fischer,1935,1,United States
271036,547824,John Carisi,1922,1,United States
271037,1054970,Tony Miranda,1919,1,United States
271038,869210,Bill Barber,1920,1,United States
434886,298093,Jacek Ostaszewski,,,Poland
271050,501573,Colin Bailey,1934,1,United Kingdom
271051,1843,Vince Guaraldi Trio,,,United States
2138837,459574,Hannes Grossmann,1982,1,Germany
271065,717524,Barry Finnerty,1951,1,United States
369369,12443,Juluka,1969,,South Africa
107228,375480,Christoph Clöser,,1,Germany
2958058,1355407,Swarvy,,1,Los Angeles
828142,1140291,Eero Koivistoinen & Co.,,,Finland
402161,121968,"Alfredo ""Chocolate"" Armenteros",1928,1,Cuba
402164,47395,Manny Oquendo,1931,1,United States
1614582,50397,Ingrid Jensen,1966,2,Canada
1614585,613413,Jon Wikan,,1,United States
3056378,804892,Kwes.,1987,1,United Kingdom
697084,1041303,Jim Clouse,,1,United States
1254151,1159362,Gard Nilssen,1983,1,Norway
1516297,1325820,Elio Volpini,,1,Italy
434960,627547,Andrzej Kurylewicz,1932,1,Poland
434959,52119,Czesław Niemen,1939,1,Poland
434962,512233,Wanda Warska,1932,2,Poland
205587,55755,Mike Batt,1949,1,United Kingdom
238356,384825,Buddy Williams,,1,United States
303897,351268,Metropole Orkest,1945,,Netherlands
434969,283665,Evan Cranley,,1,Canada
1450788,538820,Etna,,,Italy
271154,42126,Thad Jones,1923,1,United States
271155,426811,Mickey Roker,1932,1,United States
1483574,1962485,Andreas Arend,,1,Germany
1483581,1041766,Hans Knut Sveen,,1,Norway
271171,505485,Antoine Silverman,1972,1,United States
303941,516360,Reid Anderson,1970,1,United States
303942,506338,David King,1970,1,United States
303943,516362,Ethan Iverson,1973,1,United States
271174,1000713,David Davidson,,1,Tennessee
1057609,1505029,John Swallow,1924,1,United States
1319759,1008034,"Marion Booker, Jr.",,1,United States
9051,78559,Wally Badarou,1955,1,France
828268,438058,John Wright,1934,1,Chicago
4662126,1860434,Fanny Ménégoz,,2,France
3285871,272541,Bryan “Brain” Mantia,1963,1,United States
631664,332056,Chris Schlarb,1977,1,United States
238452,475621,"Crispin ""Spry"" Robinson",,1,United Kingdom
271236,490598,Gary Kellgren,1939,1,United States
598918,1065533,Sherman Ferguson,1944,1,United States
697230,1068769,Bob Mair,,1,United States
598932,143883,Mark Douthit,,1,United States
2532246,165088,Menagerie,,,Australia
992157,428679,Mort Goode,1912,1,United States
41893,38520,Return to Forever,1972,,United States
336805,974488,Virginia Majewski,1907,2,United States
336807,506641,Bernard Kundell,,,United States
336808,506676,Ray Kramer,,1,United States
336809,932326,Sam Caplan,,1,United States
336811,711155,Jimmy Zito,,1,United States
304044,46426,Eric Weissberg,1939,1,United States
41904,176776,Derek Bailey,1930,1,United Kingdom
336821,974491,Lou Raderman,1902,1,United States
173014,192568,Vittorio De Scalzi,1949,1,Italy
2434008,1933327,Miguel Herrero,1976,1,Spain
1385448,229141,Edward Neumeister,1952,1,United States
205814,9839,Naked City,1988,,United States
435191,1409655,Johan Holmegard,1980,1,Sweden
599051,1014541,John Fumo,1957,1,United States
795659,1626320,Steve Jordan,1919,1,United States
140307,15023,Phoebe Snow,1950,2,United States
1025046,1633095,André Martínez,1955,1,United States
271382,383602,Lon Price,1946,1,United States
238626,125089,Jack DeJohnette,1942,1,United States
4662307,1568904,若潭,,1,France
271396,375031,Stephen Kupka,1946,1,United States
107566,367164,Hugo Dwyer,,1,United States
271409,370447,Gary Grant,,1,United States
336948,1056912,Audun Erlien,1967,1,Norway
631865,1024635,Lorne Lofsky,1954,1,Canada
304189,141490,Kaz Lux,1948,1,Netherlands
271422,383771,Alan Estes,,1,United States
271429,147797,Vijay Iyer,1971,1,United States
42058,51922,Alice Coltrane,1937,2,United States
42059,55319,Andy Bey,1939,1,United States
4269132,1047897,Adam O'Farrill,1994,1,United States
107597,40870,Bonnie Pointer,1950,2,United States
435280,382343,John Barclay,,1,United Kingdom
205907,145033,Jason Rebello,1969,1,United Kingdom
4170841,2253149,羽尾知也,,1,Japan
861275,354257,Erich Gruenberg,1924,1,United Kingdom
271452,385934,Dick Plant,,1,United Kingdom
4170845,2253156,三戸部純一,,1,Japan
4170842,2253146,稲森康利,,1,Japan
4170843,2253137,尾山修,,1,Japan
8168557,2344444,Al MacSween,,1,United Kingdom
500845,980260,Román Filiú,,1,United States
2532484,872130,三島一洋,,1,Japan
304261,372684,Fima Ephron,,1,United States
304262,63719,Bob Sheppard,1952,1,United States
304264,194683,Ben Perowsky,1966,1,United States
435336,996805,Ann Mason Stockton,1916,2,United States
435344,974490,Erno Neufeld,,1,United States
238747,1441910,Ben Boye,,1,United States
304285,372556,Chad Taylor,1973,1,United States
337063,417797,Tuomo,1979,1,Finland
304296,1028386,Anne Goodman,,2,United States
337067,685901,Mikko Innanen,1978,1,Finland
304302,2593271,Nathan Kaploff,1922,1,United States
337071,469909,Verneri Pohjola,1977,1,Finland
304304,486907,Don Chrislieb,,1,United States
304305,690360,Arthur Maebe,,1,United States
2761904,897686,Nitai Hershkovits,1988,1,Israel
304307,506647,Gordon Marron,,1,United States
631983,377409,Ron “Rev” Stallings,1946,1,United States
304309,243506,Terry Harrington,1938,1,California
3843255,1134606,Sullivan Fortner,1986,1,United States
107701,98175,Kiki Dee,1947,2,United Kingdom
304314,506675,Raymond Kelley,1938,1,United States
337084,260125,Boz Burrell,1946,1,United Kingdom
304317,390696,Murray Adler,,1,United States
337085,423752,Ian Wallace,1946,1,United Kingdom
304322,381772,Pamela Goldsmith,,2,United States
435401,1547686,"Earl ""Buster"" Smith",1932,1,United States
861391,138095,小島麻由美,1972,2,Japan
42195,70415,Idris Muhammad,1939,1,United States
959703,561457,Robert Evans,,1,United Kingdom
1680606,1089770,Alwyn Clayden,,1,United Kingdom
468193,436572,Zbigniew Namysłowski,1939,1,Poland
3351778,1346652,Neném da Cuica,,1,Brazil
271588,34833,Preservation Hall Jazz Band,1961,,United States
2303205,436372,Jimmy Woods Sextet,,,United States
632036,310483,Virgil Blackwell,,1,United States
664810,356821,Henry Vestine,1944,1,United States
992500,997115,Mari Tsumura,,2,United States
468218,424733,Bobby Capers,,,United States
1058048,927827,Gabe Noel,1985,1,United States
107785,414554,Tony Bongiovi,1947,1,United States
304396,188365,Björn J:son Lindh,1944,1,Sweden
5940494,1634584,Wilma Archer,1991,1,London
959762,688322,V. Selvaganesh,,1,India
1484064,1101970,Takuya Kuroda,1980,1,United States
42278,511551,Stuart Bruce,1962,1,United Kingdom
140590,820198,Keg Johnson,1908,1,United States
337191,697569,Janine de Waleyne,1921,2,France
4826417,1469659,Dave Manington,,1,United Kingdom
1811762,798688,Adam Lane’s Full Throttle Orchestra,,,United States
1746241,767761,Mike Swoop,,1,Brooklyn
271691,141493,Hank Roberts,1954,1,United States
959826,648461,Aly Keïta,1969,1,Mali
304477,489630,Paul Archibald,,1,United Kingdom
1025374,871158,Johnny Board,1919,1,United States
271714,268581,Ronald Shannon Jackson,1940,1,United States
304487,435216,Mary Scully,,2,United Kingdom
304501,1299389,Gavin McNaughton,,1,United Kingdom
304502,547506,Paul Gardham,,1,United Kingdom
304509,294457,Jonathan Rees,1963,1,United Kingdom
304512,489625,Anthony Pike,,1,United Kingdom
304515,547508,Jonathan Tunnell,,1,United Kingdom
304519,437939,Philip Dukes,1968,1,United Kingdom
304525,476973,Roger Chase,1953,1,United Kingdom
370068,386329,João Palma,1941,1,Brazil
566680,1028423,Jacqueline Lustgarten,,2,United States
75195,204802,Guy Barker,1957,1,United Kingdom
337350,555067,Matthew Bourne,1977,1,United Kingdom
533965,993338,Doutor,,,Brazil
828878,1169640,Magnus Schriefl,1983,1,Germany
370125,965514,Lucien Dobat,,1,France
533968,991334,Enéas Costa,,1,Brazil
2565585,1162464,Chris DiMeglio,,1,United States
206290,247305,Danny Carey,1961,1,United States
533970,1033869,Ary Carvalhaes,,1,Brazil
9707,1631,War,1969,,United States
9708,97994,N’Dea Davenport,1966,2,United States
5547528,1844993,Simulacrum,2014,,New York
927241,1985307,Warren Laffredo,,1,United States
1025548,932323,Frank Miller,1912,1,United States
