1011950,Marshall Hawkins,1939,1,United States
64522,Moondog,1916,1,United States
406475,David Tronzo,1957,1,United States
882103,Bryan Carrott,,1,United States
1600886,Vincent Davis,1957,1,Chicago
238371,Harvey Mason Jr.,1968,1,United States
413786,Brad Gilderman,,1,United States
61037,Grant Geissman,1953,1,United States
803164,James Bradley Jr.,,1,United States
2479730,Roger Bobo,1938,1,United States
637547,Marcia Van Dyke,1922,2,United States
1622806,Michael Janisch,,1,London
1647007,Sara Schoenbeck,,2,Brooklyn
24183,Marc Ribot,1954,1,United States
1720875,Mark “Microwave” Mytrowitz,,1,United States
141747,Universal Congress Of,1986,,United States
1811120,Donald Patterson,,1,Texas
4309,Michael Franks,1944,1,United States
252402,Howard Levy,1951,1,United States
2119208,David Casamitjana,1964,1,Catalunya
451902,Martin Slavin,1922,1,United Kingdom
206512,Bennie Green,1923,1,United States
445837,Leonard Gaskin,1920,1,United States
50097,Zoot Sims,1925,1,United States
1762974,Hanna Kay,1947,2,Australia
555308,Peter Kirsten,1935,1,Germany
486490,Ippe Kätkä,,1,Finland
519852,Juuso Nordlund,,1,Finland
21571,Nils Petter Molvær,1960,1,Norway
1313755,John Davis,,1,Brooklyn
2530352,David Eaton,,1,United States
1044732,Aaron Nevezie,,1,Brooklyn
558794,Martin Winch,1949,1,New Zealand
33953,Ray Anthony,1922,1,United States
1368551,Mali Obomsawin,,2,Maine
109810,Bill Summers,1948,1,United States
384637,Nick Moroch,,1,United States
1175617,Phil Brown,,1,United States
1232464,Anna Włoch,1974,2,Poland
959292,Fred Jackson Jr.,1945,1,United States
4344,Cole Porter,1891,1,United States
580989,Ruben Lopez Furst,1937,1,Argentina
500871,Lee Gillette,1912,1,United States
595906,Ray Edenton,1926,1,United States
868300,Bobby Thompson,1937,1,United States
188291,Ira Gershwin,1896,1,United States
474163,DuBose Heyward,1885,1,United States
1387382,Jürgen Karg,,1,Germany
528641,Miloš Valent,1960,1,Slovakia
393162,Mark Seliger,1959,1,United States
485852,Jez riley French,1965,1,United Kingdom
1162421,成田正,,1,Japan
76009,Sachiko M,1970,2,Japan
684432,Jamie Talbot,1960,1,United Kingdom
239945,Norman Blake,1965,1,United Kingdom
320944,Nigel Hitchcock,1971,1,United Kingdom
1648420,The Nels Cline 4,,,United States
238751,Geoff Emerick,1945,1,United Kingdom
556908,Bernie Hanighen,1908,1,United States
359016,John Burton,,1,United States
528679,Seppo Tyni,1954,1,Finland
1469199,Hector Carreon,,1,Ciudad Juárez
21453,Thurston Moore,1958,1,United States
374459,Ian Cooper,,1,United Kingdom
145958,Batsumi,1972,,Soweto
1066798,Petar Ugrin,1944,1,Slovenia
627941,Jacek Olter,1972,1,Poland
482485,Don Hahn,,1,United States
11960,El‐P,1975,1,United States
348726,Russ Savakus,1925,1,United States
41610,Roy Ayers,1940,1,United States
11062,George Benson,1943,1,United States
14315,Nuyorican Soul,1996,,United States
33070,Bertrand Burgalat,1963,1,France
1012643,Zac Zinger,,1,New York
577824,Mário Adnet,1957,1,Brazil
1061704,Marty Gold,1915,1,United States
288450,Jacob Young,1970,1,Norway
1058969,Mike Hennessey,1928,1,United Kingdom
21945,Don Pullen,1941,1,United States
4758,Chico Freeman,1949,1,United States
465059,Kirk Lightsey,1937,1,United States
438582,Robert Vosgien,,1,United States
275378,Kerkko Koskinen,1973,1,Finland
654175,Keyon Harrold,1980,1,United States
409426,Timo Lassy,1974,1,Finland
47689,Masada,1993,,United States
2014852,Murray Weinstock,,1,United States
578915,Marky Markowitz,1923,1,United States
962865,Harvey Estrin,1929,1,United States
381478,Jerry Friedman,,1,United States
107511,Ira Newborn,1949,2,United States
1043640,Andy Muson,,1,United States
259468,Laurel Massé,1951,2,United States
232171,Seldon Powell,1928,1,United States
1378878,Mickey Gravine,,1,United States
438751,Frank Vicari,1931,1,United States
385443,George Young,1937,1,United States
384922,Alan Raph,1933,1,United States
364401,George Dorsey,,1,United States
690608,Nadim Haque,1981,1,Germany
548919,Idrees Sulieman,1923,1,United States
436390,Clifford Jordan,1931,1,United States
61745,Isabelle Antena,1960,2,France
457984,Uwe Teichert,,1,Belgium
1241989,西沢勉,,1,Japan
366246,Steve Swell,1954,1,United States
1054475,神成芳彦,1943,1,Japan
320065,Joe Barresi,,1,United States
1235306,Diko Shoturma,,1,United States
658524,Francis Lockwood,1952,1,France
871197,Vernon Martin,1932,1,United States
1004956,Herb Bernstein,,1,United States
1247488,Jorge Velasco,,1,United States
824857,Gérard Prévost,,1,France
78755,Natalia Lafourcade,1984,2,Mexico
681454,Kåre Christoffer Vestrheim,1969,1,Norway
566902,Nathaniel Rosen,1948,1,United States
2274678,Sheri Leverich,,2,United States
141439,Youth,1960,1,United Kingdom
630835,Nick Plytas,,1,United Kingdom
88584,The Dave Pike Set,1968,,Germany
439229,Martin Levan,,1,United Kingdom
986258,Ian Hamer,1932,1,United Kingdom
1498303,Igal Foni,,1,New York
823753,Kristjan Randalu,1978,1,Estonia
444641,Chris Dawkins,,1,United Kingdom
1032629,John McCortney,,1,United States
359125,Art Davis,1934,1,United States
200379,Larry Ridley,1937,1,United States
295515,Julian Priester,1935,1,United States
8827,Jimmy Heath,1926,1,United States
671222,Jay Ranellucci,,,United States
593996,Antoine de Caunes,1953,1,France
237154,Alan Moulder,1959,1,United Kingdom
2975,Barry Adamson,1958,1,United Kingdom
1400892,Klaus Frahm,1953,1,Germany
999427,Justin Shturtz,,1,United States
1042514,David Baker,1931,1,United States
963534,Elliott Golub,,1,United States
637408,Everett Zlatoff-Mirsky,,1,United States
1162673,David Wessel,1942,1,United States
527755,Fabrizio Spera,1960,1,Italy
419323,Mikael Jorgensen,1972,1,United States
853150,Mike Deasy,1941,1,United States
1082150,Joe Clayton,,1,United States
462088,James Mingo Lewis,1940,1,United States
381760,Larry Corbett,1954,1,Los Angeles
827969,George Del Barrio,,1,United States
216557,Jordi Sabatés,1948,1,Spain
964881,Talib Qadr,1953,1,United States
8775,Dennis Chambers,1959,1,United States
507467,Joseph Bowie,1953,1,United States
1347050,Emilio Cruz,1938,1,United States
355064,Claudius Mittendorfer,,1,New York
609242,Lalle Larsson,1974,1,Sweden
2036238,Jean-Jacques Duerinckx,1960,1,Belgium
2117698,I.C.P.-Tentet,,,Germany
366240,The Waters,,,United States
245763,Ira Cohen,1935,1,United States
445869,Barbara Wojirsch,,2,Germany
641277,Jos L. Knaepen,1944,1,Belgium
570685,Ronaldo Bastos,1948,1,Brazil
58979,Simon Shaheen,1955,1,United States
168338,Charnett Moffett,1967,1,United States
1727018,Terri Quaye,1940,2,United Kingdom
1149625,Jay Marcovitz,,1,United Kingdom
1342901,Jacob Mann,,1,United States
290621,Ben Ellman,,1,United States
204564,Trey Spruance,1969,1,United States
56109,Rebecca Moore,1968,2,United States
44143,Jack Kerouac,1922,1,United States
1026846,Christian Kellens,1925,1,Belgium
1300766,David Schnee,1980,1,Switzerland
2055737,Dan Kelley,,1,United States
1113014,Max Zenger,,1,Finland
384849,Paul Blakemore,,1,United States
5466,Shelly Manne,1920,1,United States
1537,DJ Spooky,1970,1,United States
144480,Oliver Sain,1932,1,United States
2114092,Fergus McCreadie,,1,Scotland
3474,Les Baxter,1922,1,United States
370170,Stu Williamson,1933,1,United States
37193,Bill Holman,1927,1,United States
424234,Curtis Counce,1926,1,United States
1024555,Phil Urso,1925,1,Jersey City
380432,Monty Budwig,1926,1,United States
355827,Jimmy Rowles,1918,1,United States
55244,Patrick Pulsinger,1970,1,Austria
90487,Bill Perkins,1924,1,United States
740417,Lawrence Marable,1929,1,United States
4261,Ben Tucker,1930,1,United States
370186,Mel Lewis,1929,1,United States
740490,Russ Freeman,1926,1,United States
388707,Don Fagerquist,1927,1,United States
1643625,Paul Jackson,,1,United Kingdom
440193,Alex Puddu,,1,Denmark
366376,Caleb Southern,1969,1,Durham
583270,Rob Verdurmen,1953,1,Netherlands
1167400,Andreas Altenfelder,1944,1,Germany
584413,Joe Mondragon,1920,1,United States
390032,Larry Bunker,1928,1,United States
975050,Bob Neel,,1,United States
118351,Bob Brookmeyer,1929,1,United States
873914,Carson Smith,1931,1,United States
359333,Jack Montrose,1928,1,United States
439414,Larry DuPont,,1,United States
1586756,Kaoru Yamamoto,,,Japan
641373,Ken Deardoff,,1,United States
1683580,PSI,1975,,Germany
242094,John Golden,,1,United States
