id,name,year,gender,country
2488723,Thomas Mitchell,,,Northern Ireland
833440,Yusuf Mumin,1915,1,United States
1854022,Dan Sheehan,1969,1,New York
958968,Ray Codrington,,1,United States
786890,Peter Wood,1950,1,United Kingdom
1212520,Kirk Johnson,,1,Zapopan
1803893,James Macaulay,,1,Melbourne
513638,Jan Hrubý,1948,1,Czechia
1660118,Dan Gray,,1,United Kingdom
1492834,Kathryn King,,2,United States
912262,John Bowley,,1,United Kingdom
344639,Thomas Frank,,1,Germany
400011,Josephine Oniyama,,2,United Kingdom
613576,Danny Johnson,,1,United States
2599534,John Wolf,,1,Szolnok
2199289,Darryl Jackson,,1,United States
2052237,Sam Becker,,1,United Kingdom
2335942,Stephen Henderson,,1,United Kingdom
2422938,Dave Grant,,1,United Kingdom
1120904,Antonio Álvarez,,1,Spain
286438,Sandra Stevens,1949,2,United Kingdom
1081660,Victor Brown,,1,Jamaica
916698,Charles Camilleri,1931,1,Malta
753549,Gil Coggins,1928,1,United States
1081643,Glen Turner,,1,United States
1455603,Abdellah Ahkaraz,,1,Morocco
1929746,Iain Crawford,,1,United Kingdom
2612748,The Pan-Afrikan Peoples Arkestra,,,United States
315769,David Duke,,1,United States
1943902,Marcin Klimczak,,1,Poland
1577702,Hiroshi Suzuki,,,Japan
2615187,Tantric Bile,,,California
1364206,Steve Cochrane,1961,1,Canada
943444,Rauno Vaher,,1,Estonia
103701,Jerry Byrd,1920,1,United States
763910,Leon Williams,,1,United States
1822549,Benjamin Arnow,,1,United States
921361,Rick Culver,,1,United States
1315161,Laura Frautschi,,2,United States
107069,Chris Cowie,1969,1,United Kingdom
335082,Steve Levine,,1,United Kingdom
387987,Mike Peden,,1,Scotland
2411124,Jerzy Piotrowski,,1,Poland
1150599,Alan Dean,1924,1,United Kingdom
1409206,David Chew,,1,United Kingdom
494636,Chicas,,,Brazil
533261,Aaron Bensoussan,,1,Canada
2012110,Bill Robinson,,1,United States
1240646,Cacau,,1,Salvador
1969976,Yoon Sun Choi,,2,New York
1610612,Alfredo do Nascimento,,1,Brazil
1240277,Stephen Johnson,1952,1,Kansas
2147510,Eudald Payés,1996,1,Catalunya
1174326,Brett Randall,,1,Wollongong
1315127,Christopher Thomas,,1,Wales
1180539,Brian Priestley,1940,1,United Kingdom
2037021,Geraldo Medeiros,,1,Brazil
948746,Ronald Thomas,1954,1,United States
1959452,Książę Saxonii,,,Poland
2411178,Sławomir Piwowar,,1,Poland
627931,Tomasz Hesse,,1,Poland
1959603,Jeremy Corren,,1,New York
1623296,Gitanjali Jain,,2,Canada
2127259,Arif Smith,,1,United States
1889135,Bex Burch,,2,United Kingdom
1545529,Mike Haynes,,1,United States
871099,Bertrand Fresel,,1,France
551370,Vincent Gardner,1972,1,United States
962178,Gordon Davis,,1,United Kingdom
1964539,Akira Kawasaki,,,Japan
1610229,Zbigniew Czwojda,1949,1,Poland
820439,Ken Errair,1930,1,United States
1019709,Nikolaj Torp,,1,Denmark
1964784,Mark Mollison,,1,United Kingdom
1617108,Katy Cox,,2,United Kingdom
1941822,Matt Gold,,1,United States
1402603,David Kent,,1,Canada
1713414,John Best,,1,Australia
409574,Barbara Allen,1936,2,United States
813218,Michael Spivakowsky,1919,1,United States
1319837,Jane Robertson,,2,Australia
985942,Bård Ingebrigtsen,,1,Norway
1628909,Ron Eyre,,1,United States
1463612,Diogo Duque,,1,Portugal
558119,Byron Allen,1939,1,United States
1575702,William Cochran,1943,1,United States
1959463,Błoto,,,Poland
987942,Richard Mader,,1,Czechia
997499,Marisha Brown,,2,United States
1262525,Daniel Villarreal,,1,Mexico
2294096,Bobby Harvey,,1,United Kingdom
1636835,Brenda Reid,1945,2,United States
1522449,Joel Silva,,1,Chile
1750702,Tom Hodges,1972,1,Anaheim
1042527,Al Kiger,1932,1,United States
1624602,Rob Murphy,,1,Colorado
1836908,Clara Warnaar,,2,New York
882794,Richard Skinner,1951,1,United Kingdom
647178,Nadia Moss,,2,Canada
425586,Roland Young,1938,1,United States
374191,Richie Castellano,1980,1,United States
1508449,Michael Rodriguez,,1,Austin
444528,Jack Tracy,1926,1,United States
1456134,Benjamin Tierney,,1,United States
2200485,Fred Adams,,1,United States
1359264,Chris Bates,,1,Minneapolis
1192396,Rick Bell,,1,United States
1000316,Josh Evans,,1,United States
1602548,Alun Thomas,,1,United Kingdom
2405010,Erik Dahl,,1,Gothenburg
816143,Robert Murray,,1,United Kingdom
997484,David Wong,,1,United States
3524,Kwaku Kwaakye Obeng,,1,Ghana
449682,Brian O'Connor,,1,Ireland
359150,Jack Gregg,1938,1,United States
2546842,Filipe Castro,,1,Brazil
1332501,Jon Rebbeck,,1,Hong Kong
1144062,Paul Baylis,,1,United Kingdom
1692887,Matt Forbes,,1,Canada
1257518,Jonas Engel,,1,Germany
1325819,Mark Lewandowski,,1,United Kingdom
266957,Graham Russell,1950,1,United Kingdom
1889021,Andy Hay,,1,United Kingdom
1125216,Takashi Imai,,,Japan
1051061,Greg Martin,,1,United States
991001,King Tears Bat Trip,,,United States
1942071,Jordan Smart,,1,United Kingdom
721989,Katherine Anderson,1944,2,United States
1012808,Nabate Isles,,1,United States
1408387,Dina Cindric,,2,Canada
578688,Kjell Jansson,1950,1,Sweden
1274487,Alun Morgan,,1,Wales
2032030,Cathlene Pineda,,2,United States
1257539,Alistair Duncan,,1,Germany
1701549,Paul Elias,,1,Finland
2129424,Feargus Hetherington,,1,Scotland
2098812,Gaston Bandimic,,1,Dakar
1258815,Felix Jechlinger,,1,Germany
1725072,Lena Hamilton,,2,United States
2029813,Ed Lister,,1,Canada
1903123,Ian Gray,,1,Seattle
1131961,Raimi,,,Sardegna
2137037,John Lake,,1,Poland
2557224,Hélio Capucci,,1,Rio de Janeiro
2315585,Robin Gardener,,1,United Kingdom
2055779,Arriaga Quartet,1980,,Belgium
1723366,Gyula Kovács,1929,1,Hungary
752096,Marvin Israel,1924,1,United States
1506423,Blue Notes,1965,,Denmark
1361496,Curtis Macdonald,,1,New York
1455605,Mohamed Abdellaoui,,1,Morocco
1089052,Harold White,,1,United States
2114778,Pernambuco,1918,1,Brazil
939236,Patrick Boyle,,1,Victoria
1737883,Martin Myhre Olsen,,1,Norway
1610608,Dan Peck,1983,1,New York
703788,Zdeněk Dvořák,,1,Czechia
1519568,Albert Steinberg,1910,1,Canada
668013,Antonio Lomas,,1,Spain
1144017,Jeremy Rose,,,Sydney
2001179,Michael Ode,,1,United States
1934485,Taylor Richardson,,1,United States
233178,Billy King,,,Germany
769387,EIJI,,,Japan
968322,Greg Hopkins,,1,United States
381755,Carole Castillo,,2,United States
1453402,Kamala Sankaram,,2,United States
1664143,Michel Séguin,,1,Québec
2091780,Micaela Tobin,,2,Los Angeles
1990213,John Hoffman,,1,Cincinnati
480260,Ray Rivera,1929,1,United States
765643,David Ryshpan,,1,Canada
1342902,Corbin Jones,,,United States
1224117,Walter Brüssow,,1,Germany
1508178,David Woodcock,,1,Oakham
1722971,Ed Polcer,1937,1,United States
1724366,Henry Palmer,1898,1,United States
1816706,VJ Rosales,,1,United States
377526,Keith Goodwin,,1,United States
899400,Ken Hopkins,,1,United States
2347979,Melvin Vines,,1,United States
1887,Ibo,1961,1,Germany
1970991,Harold Bennett,,1,United Kingdom
1434181,Adam Neely,1988,1,United States
1790520,Femi Koleoso,1994,1,United Kingdom
138743,Keith Moon,1946,1,United Kingdom
2139499,Doug Allen,,1,Darien
1359505,Alex Lacamoire,1975,1,United States
2099460,Ingo Hermes,,1,Germany
1260889,Chrysanthe Tan,,2,United States
1712932,Paulo Ferreira,,1,Portugal
2161543,Mieczysław Górka,,,Poland
150217,Paul Parker,1959,1,United States
385847,Colin Green,,1,United Kingdom
901986,José Pinto,,1,Brazil
591534,Jean Louis,2005,,Paris
571022,Maciej Cieślak,,1,Poland
983563,Elliot Humberto Kavee,,1,United States
967655,Cliff Almond,,1,United States
1409006,Katherine Murdock,,2,United States
1850531,Jacek Majewski,1966,1,Poland
1044152,Sam Furnace,1954,1,United States
1233414,Erdem Göymen,1978,1,Türkiye
1848058,Mike Faure,,,South Africa
1589304,Luisito Ayala,,1,Puerto Rico
1362298,Dan Bennett,,1,United Kingdom
1257575,Johannes Schneider,,1,Germany
1420379,Rene Mandel,,1,United States
57573,Chad Jackson,,1,United Kingdom
1013245,Jon Owens,,1,United States
1067375,Will Miller,,1,United States
895313,Ryan Truesdell,,1,United States
880291,Avo Joala,1942,1,Estonia
627389,The Shadow,,,Denmark
52324,Dave Carter,1952,1,United States
1982540,Harry Gatibelza,1944,1,Guadeloupe
110538,Büdi Siebert,,1,Germany
2243184,Orlando Pabellón,1952,1,Puerto Rico
751293,Bertil Lövgren,1939,1,Sweden
1949712,Ethan Moffitt,,1,United States
2047725,Ronald Cooper,,1,Shetland Islands
1060689,Jordi Soley,,1,Spain
367015,Jesse Mills,,1,United States
677658,Willie Woods,1936,1,United States
1396800,David Singer,,1,Chicago
804607,Bryan Smith,,1,United States
1133493,Douglas Yates,,1,New York
1056713,Kari Tamminen,,1,Finland
734132,Sergio González,,,Argentina
1310183,Bob Bralove,1955,1,United States
2007320,Christine Martin,,,Highland
1226626,Linda Wood,,2,United States
1237677,Chris Rogers,,1,Australia
