"id","rank","rating","year"
1650620,799,3.65,February 1962
222735,809,3.64,1975
2413972,812,3.65,1959
1216097,813,3.65,25 August 2006
4295993,817,3.65,1963
3696380,818,3.63,1972
5469720,819,3.65,June 1999
2343940,820,3.64,November 1961
18373444,822,3.63,1959
3569150,830,3.63,April 1970
690554,831,3.64,1963
12829295,836,3.64,28 January 2003
3429644,837,3.68,July 1964
3116669,843,3.64,July 1974
3263579,844,3.64,January 1959
1227445,845,3.62,2007
4648485,851,3.63,October 1958
3585455,857,3.64,1980
397698,859,3.64,1973
7007870,864,3.62,5 September 2012
1976272,868,3.62,June 1971
6475096,871,3.63,1953
649498,872,3.63,8 March 2006
977687,876,3.64,February 1974
357897,880,3.62,7 September 2004
16239599,881,3.63,October 1970
1545258,882,3.58,1969
2522163,886,3.63,November 1975
11317907,890,3.73,November 1960
3019674,891,3.62,16 June 1998
861733,895,3.62,November 1966
1743904,899,3.62,January 1966
4065618,910,3.63,1953
4952581,918,3.62,1977
5828722,919,3.62,11 August 1998
1360383,925,3.62,1972
1157933,933,3.61,5 March 2007
10022669,939,3.62,1956
1651841,940,3.62,13 April 1987
2862131,942,3.6,1965
8094522,944,3.61,1974
8477323,945,3.6,November 1959
5138135,956,3.6,December 1955
757945,957,3.61,June 1957
15554693,971,3.67,25 April 1985
11533550,977,3.61,3 November 2017
1770684,978,3.61,1980
523365,994,3.64,1970
6511976,1007,3.57,1965
3366345,1009,3.68,January 1957
1672674,1010,3.59,1984
2936326,1012,3.6,1960
1845791,1014,3.61,19 October 2008
1617618,1016,3.58,November 1958
4115931,1019,3.59,1977
2425705,1027,3.77,1977
687632,1040,3.58,1974
492842,1042,3.59,1965
2429717,1050,3.58,1966
3384826,1054,3.65,December 1956
1243539,1057,3.62,June 1973
530606,1060,3.57,1966
5386095,1066,3.73,January 1959
1257682,1069,3.61,1970
16284251,1070,3.59,29 September 2020
2600309,1076,3.57,1965
10094003,1080,3.52,22 September 2016
1174266,1083,3.56,July 1964
4229669,1087,3.58,March 1958
1552976,1088,3.64,April 1978
3207304,1090,3.63,January 1962
1461618,1092,3.57,23 March 1983
3320017,1094,3.74,October 1957
454016,1095,3.57,24 January 1995
4107547,1097,3.56,1993
4154602,1098,3.56,24 March 2012
7607664,1099,3.57,September 1975
1357079,1102,3.74,September 1965
407469,1103,3.56,27 March 2001
3265913,1107,3.57,1972
8931850,1110,3.65,April 1961
2744902,1111,3.72,1956
5716384,1114,3.65,April 1984
5311849,1116,3.67,10 January 2007
7068875,1120,3.55,March 1957
6408494,1121,3.56,June 1971
2703834,1126,3.64,September 1960
3181861,1136,3.56,September 1961
552839,1139,3.57,1974
1487476,1145,3.56,1971
1266037,1146,3.55,20 November 2007
605327,1147,3.57,9 April 2002
1389936,1148,3.56,1967
519447,1149,3.53,1956
418359,1153,3.55,5 March 1996
3474216,1154,3.57,1955
774676,1159,3.55,March 1970
3747813,1161,3.66,October 1965
1343833,1167,3.55,May 1958
2636760,1169,3.74,1972
4433488,1171,3.56,August 1956
363301,1173,3.55,1973
470790,1174,3.63,February 1979
7840415,1179,3.56,1980
19270828,1180,3.53,February 1963
2160314,1181,3.55,January 1973
1428681,1182,3.59,1970
1063292,1192,3.55,June 1964
1898068,1215,3.56,February 1971
17517319,1216,3.57,29 January 2021
12403440,1218,3.54,1952
1349527,1223,3.53,April 1973
17166241,1226,3.55,August 1959
3164411,1229,3.54,January 1970
6018519,1240,3.61,25 June 2014
5378051,1241,3.67,1958
2551367,1257,3.72,1961
9712042,1258,3.53,August 2016
372767,1264,3.54,May 1957
496668,1267,3.53,1974
1737209,1271,3.53,1977
3867465,1272,3.54,October 1963
6661337,1281,3.57,1957
4490624,1283,3.52,August 1972
517197,1296,3.52,1957
23416811,1299,3.65,1957
5463367,1300,3.51,27 January 2014
13873231,1301,3.52,23 June 2009
15035753,1306,3.52,13 March 2020
5283854,1313,3.68,1973
14546480,1314,3.68,July 1965
1117674,1316,3.5,18 January 1975
552483,1325,3.51,May 1975
2577746,1330,3.67,November 1966
27399348,1332,3.52,16 June 2023
4078421,1335,3.49,15 November 1971
628318,1339,3.52,24 January 1972
385286,1342,3.48,1989
437586,1346,3.61,22 November 1970
13340369,1352,3.52,15 March 2019
516105,1353,3.49,1969
1840580,1354,3.51,1975
8012885,1358,3.51,March 1979
12676975,1359,3.49,12 October 2018
2143125,1363,3.69,1972
318563,1366,3.48,October 1992
3034965,1376,3.58,July 1974
3817267,1381,3.48,24 June 2012
10601451,1387,3.49,17 May 2017
5420100,1388,3.49,1980
4907127,1392,3.49,1975
3841424,1393,3.67,1960
4018275,1395,3.7,December 1969
3316421,1396,3.5,1993
2613377,1397,3.75,May 1962
6765354,1398,3.48,3 April 2012
3469846,1400,3.61,1958
877863,1401,3.62,12 March 1971
1042462,1404,3.49,1963
1153645,1405,3.65,January 1974
10136925,1407,3.74,1997
4297775,1409,3.69,November 1961
14752384,1413,3.48,31 January 2020
2492590,1414,3.48,9 February 2018
15540392,1419,3.55,1956
444376,1420,3.61,1974
5494668,1426,3.49,May 1962
1143886,1428,3.64,January 1969
3740757,1430,3.47,October 1957
4024211,1433,3.49,25 September 2007
1705732,1435,3.79,1973
498895,1440,3.48,1 August 1981
10320961,1441,3.49,26 May 2017
21310516,1447,3.48,7 May 2021
411943,1448,3.48,21 May 2002
23752934,1450,3.48,17 June 2022
1291651,1454,3.47,18 March 2008
770781,1457,3.46,1972
25036366,1459,3.48,4 November 2022
1887432,1460,3.47,28 July 2009
521998,1468,3.48,January 1971
8693604,1479,3.46,18 September 2015
579071,1481,3.61,1973
8159970,1487,3.47,October 1962
5448367,1493,3.55,November 1976
6925256,1498,3.46,10 November 2011
1656236,1500,3.6,November 1980
1741973,1501,3.72,18 February 1992
481865,1506,3.46,1968
727515,1515,3.69,9 February 2005
2904945,1516,3.79,1957
3564442,1517,3.62,1975
423817,1519,3.45,23 June 1998
19824292,1523,3.47,6 August 2021
5768829,1525,3.45,16 August 2013
6940610,1534,3.44,1974
11298816,1542,3.45,15 April 2016
2398576,1545,3.55,19 July 2010
1690082,1551,3.46,April 1971
12380908,1552,3.53,28 August 2012
2003677,1553,3.48,22 February 1990
3163018,1554,3.73,March 1967
1605936,1555,3.87,1971
14752006,1557,3.42,7 February 2020
3244154,1561,3.55,1965
23172488,1563,3.71,August 1956
4201897,1572,3.44,1958
9614701,1583,3.44,23 September 2016
6358578,1584,3.43,21 September 1957
6410512,1589,3.43,February 2007
639802,1591,3.64,1959
5080914,1592,3.63,July 1971
7871544,1593,3.7,18 February 2009
5261655,1600,3.43,1956
345404,1603,3.41,6 March 1989
2005161,1606,3.48,1977
791728,1609,3.43,1973
12530518,1616,3.87,2018
4141257,1618,3.61,1972
21417082,1619,3.67,July 1957
3804892,1623,3.42,April 1956
8170961,1635,3.41,27 February 2017
5844618,1639,3.42,1971
10962085,1651,3.42,6 October 2017
2218939,1657,3.43,April 1969
1172696,1658,3.66,September 1984
8498573,1662,3.6,January 1963
3218654,1664,3.74,1961
2335415,1674,3.44,1967
8353944,1676,3.47,3 February 2016
1374978,1677,3.66,February 1957
12839666,1682,3.42,15 January 2019
8929958,1683,3.55,1975
6290126,1685,3.48,March 1965
5624651,1689,3.68,1959
9770889,1692,3.41,November 1976
1064011,1693,3.4,November 1976
1274376,1695,3.39,1994
3730002,1696,3.41,August 1957
563508,1699,3.62,21 January 2003
13975933,1703,3.4,22 March 2019
537029,1710,3.63,24 April 2005
825017,1713,3.68,November 2005
816406,1717,3.42,November 1962
5008218,1718,3.4,27 September 2013
1195118,1722,3.45,1966
576902,1723,3.63,February 1968
1339586,1725,3.4,1968
15213830,1727,3.6,1978
13442878,1733,3.44,17 November 2008
1151323,1743,3.9,1997
681902,1744,3.57,24 October 2000
874084,1750,3.6,11 August 1975
1687952,1751,3.39,June 1957
2507612,1756,3.39,11 October 2010
739585,1758,3.73,June 1959
362992,1760,3.5,October 1999
2673890,1762,3.38,1981
6499477,1763,3.51,September 1974
1847188,1765,3.65,July 1976
1614522,1766,3.61,1977
666697,1768,3.7,1977
9349027,1771,3.38,1976
3414443,1772,3.61,1958
810633,1776,3.53,1971
452972,1781,3.53,15 March 1971
1117342,1785,3.38,1970
14795434,1786,3.39,14 February 2020
6653420,1788,3.47,1991
10352980,1791,3.39,2 June 2017
26915726,1792,3.55,15 October 1996
1574872,1793,3.58,1992
1255725,1798,3.53,1987
3363602,1801,3.67,July 1961
15697232,1802,3.39,20 March 2020
2167802,1813,3.68,September 1964
135289,1819,3.37,February 1982
323657,1825,3.34,1995
3053935,1828,3.54,November 1967
1451172,1829,3.36,1965
4214475,1834,3.59,March 1978
1718179,1835,3.34,24 March 2000
1565456,1842,3.61,1971
1856029,1843,3.36,4 November 1997
19280914,1849,3.36,25 June 2021
3433705,1851,3.53,1953
24000953,1853,3.55,1973
3038483,1854,3.35,1963
3661060,1860,3.56,July 1964
4756492,1861,3.65,1971
2146148,1865,3.56,February 1962
1216035,1866,3.68,11 March 2002
8146039,1873,3.51,1959
1125268,1875,3.59,February 1982
7465943,1880,3.42,April 1984
28676881,1886,3.5,1975
3514146,1887,3.58,1980
348391,1889,3.33,February 1993
15258863,1891,3.46,15 January 2019
8776734,1892,3.49,12 March 1996
3323834,1894,3.62,June 1956
976695,1896,3.82,April 1971
8843934,1899,3.53,1981
249530,1903,3.35,1 September 1986
1441963,1905,3.34,24 May 2005
5680567,1906,3.38,9 May 2014
17374618,1913,3.35,5 February 2021
2474017,1916,3.58,5 October 2010
2685523,1923,3.81,1960
1319311,1929,3.33,14 June 1988
1317942,1933,3.48,February 1979
383964,1935,3.68,April 1993
2468408,1942,3.57,1969
2304380,1944,3.71,7 March 2010
21310516,1946,3.33,2 February 2021
15929888,1948,3.43,1945
1590565,1954,3.33,November 1964
26824754,1955,3.59,19 October 1993
4984604,1956,3.62,20 August 2013
7179038,1966,3.32,April 1967
1554259,1971,3.57,19 August 2008
6275621,1973,3.28,20 September 1994
514220,1974,3.47,1970
1130263,1975,3.55,1975
13055454,1976,3.7,August 1957
4574391,1979,3.53,21 May 2013
593930,1984,3.33,1990
1973226,1985,3.6,1976
22713986,1986,3.31,1 April 2022
2984395,1992,3.3,1969
1844811,1994,3.31,11 April 1987
11742759,1996,3.3,1979
1994252,2000,3.62,November 1967
10340958,2009,3.65,2007
25504444,2013,3.64,1955
4018887,2016,3.28,1958
14804400,2017,3.31,14 February 2020
2270819,2020,3.53,5 September 1971
4512017,2023,3.4,2007
1824513,2024,3.65,1986
1580609,2025,3.54,17 July 2007
1767458,2028,3.71,1969
5380060,2040,3.32,4 February 2014
601688,2041,3.58,29 March 1994
22947155,2044,3.63,29 October 2021
15966651,2045,3.66,May 1958
1809160,2048,3.59,August 1973
1376487,2055,3.56,July 1971
3366068,2057,3.44,1961
1545671,2058,3.61,May 1973
469645,2059,3.63,30 January 2001
316990,2060,3.59,February 1974
2692806,2069,3.75,October 1971
2991602,2070,3.45,11 February 2008
884559,2072,3.29,1977
8908456,2075,3.65,1 April 1987
26833247,2077,3.72,March 1964
3936044,2080,3.74,1962
3946371,2081,3.36,14 February 2012
1349223,2084,3.55,22 February 2008
3970694,2086,3.51,4 October 2005
1593148,2087,3.54,1987
1365061,2090,3.5,1973
4057375,2098,3.51,1957
8262031,2100,3.27,21 April 2015
6707604,2101,3.38,9 March 2015
1462965,2103,3.72,1995
9738721,2104,3.25,March 1961
6307715,2109,3.25,7 June 2019
1052579,2115,3.73,October 1970
11032646,2116,3.27,1965
1272849,2126,3.77,1992
2026999,2130,3.26,1965
1043132,2132,3.62,7 August 2006
959022,2136,3.63,26 September 2006
2132011,2141,3.75,1956
4400837,2142,3.25,February 1959
1496218,2143,3.52,19 August 2008
1000427,2144,3.58,12 April 1976
2525564,2148,3.67,1958
2139301,2150,3.51,1976
5091137,2156,3.63,1978
2617522,2157,3.64,August 2003
10266796,2160,3.56,1998
11736918,2161,3.51,September 1972
7934212,2167,3.56,10 January 2013
20484997,2169,3.24,10 January 2020
5146931,2171,3.21,17 September 2011
2608560,2174,3.45,October 1957
1405198,2185,3.57,1980
1044988,2187,3.54,January 1973
1211046,2189,3.24,January 1966
75546,2194,3.35,10 August 1999
4824865,2195,3.62,17 March 1997
1804572,2196,3.84,1968
10912734,2203,3.41,1 December 2017
1327326,2206,3.65,1996
1141245,2214,3.58,1980
6550607,2215,3.35,11 June 1991
21304975,2218,3.62,1955
7024249,2220,3.81,9 March 1994
1549762,2222,3.48,1969
2264858,2224,3.74,1992
1280346,2226,3.51,1967
1650628,2227,3.67,1976
2594846,2229,3.65,September 2010
1045351,2232,3.38,24 February 1998
27383931,2234,3.49,8 November 2019
1055717,2236,3.5,1984
1058498,2239,3.47,1966
4204856,2248,3.23,October 1953
12982230,2252,3.33,9 November 2018
5581318,2253,3.64,May 1977
1109138,2254,3.68,1982
380129,2261,3.56,January 1973
940403,2262,3.47,1973
11282269,2264,3.53,2017
1294388,2272,3.53,1996
4803310,2276,3.86,nan
27607917,2281,3.62,September 1967
2870937,2286,3.69,1990
1201895,2294,3.84,1990
1456289,2296,3.41,23 November 2004
8050185,2298,3.32,27 July 2010
5417559,2301,3.6,1966
864149,2302,3.43,1970
2927183,2303,3.69,1960
4127346,2304,3.47,1971
6497327,2308,3.59,1979
16265114,2309,3.62,21 September 1977
1324505,2310,3.73,1965
3211547,2311,3.2,November 1969
1089582,2314,3.67,1982
2704541,2315,3.59,18 March 2003
404003,2324,3.57,1961
3900864,2326,3.79,May 1973
890426,2329,3.54,June 2005
21209464,2333,3.7,17 December 2021
577698,2335,3.69,February 1969
2416466,2336,3.69,9 January 2001
8408773,2342,3.62,October 1958
2724916,2344,3.17,4 March 2008
1252823,2345,3.59,1973
1200937,2347,3.15,1968
5575951,2348,3.62,June 1954
3953348,2349,3.7,1961
618967,2352,3.64,23 October 2000
810633,2354,3.53,1971
337448,2356,3.31,1990
20728903,2360,3.72,1968
15664740,2364,3.38,19 June 2020
858409,2371,3.68,1961
9920320,2377,3.63,1981
1151258,2381,3.75,19 September 2006
14871882,2382,3.54,2003
465635,2385,3.33,24 August 1999
2067382,2387,3.59,1990
3809786,2390,3.7,1961
21213772,2395,3.58,8 October 2021
2444700,2397,3.35,29 June 2010
1375981,2400,3.56,23 March 2004
1815495,2401,3.41,September 1982
4232553,2403,3.41,22 January 2013
16939257,2404,3.16,15 January 2021
457795,2407,3.14,24 August 1999
25034245,2409,3.68,31 August 2022
2684321,2411,3.59,1971
2664116,2412,3.61,1982
531762,2415,3.45,1955
466104,2421,3.69,February 1966
2910471,2424,3.61,1955
772433,2427,3.61,25 March 2003
18838780,2429,3.56,7 May 2021
6127616,2432,3.79,1971
2195857,2436,3.63,February 1969
827708,2440,3.74,November 1976
1365401,2442,3.52,April 1981
1175923,2444,3.62,1984
25545271,2445,3.08,22 December 2022
18412663,2446,3.4,30 April 2021
4061872,2451,3.69,1963
14187040,2457,3.66,4 October 2019
2518702,2459,3.46,2001
707597,2466,3.5,March 2006
7612404,2469,3.26,30 October 2015
21304975,2475,3.66,1955
689520,2484,3.58,January 1969
3489444,2487,3.39,1976
1252875,2489,3.78,1961
11400147,2491,3.86,1953
12126120,2492,3.23,15 June 2018
6395264,2493,3.39,November 1969
1154120,2498,3.39,21 September 1999
1148566,2499,3.44,May 1982
7104717,2502,3.49,16 January 2003
7361158,2503,3.54,21 August 2015
510187,2506,3.21,1992
4243882,2508,3.78,1968
4259462,2511,3.57,1988
2966601,2513,3.56,1957
3838179,2514,3.81,1977
2007805,2516,3.49,1972
2884812,2517,3.73,1973
3247893,2522,3.18,October 1954
711781,2525,3.41,18 June 1962
11900528,2527,3.48,25 March 2018
1804232,2530,3.42,1976
899466,2531,3.51,1971
8585287,2532,3.57,January 1983
4857763,2533,3.27,June 1961
857420,2534,3.66,1993
8447302,2536,3.44,1 April 2016
1156645,2538,3.53,1951
1022419,2539,3.66,July 1970
3863267,2547,3.65,August 1960
9569195,2549,3.59,17 May 2011
3949207,2552,3.68,1963
13205430,2556,3.51,4 November 2015
1089613,2561,3.73,1983
1871408,2564,3.7,26 June 2007
9893051,2567,3.28,19 March 1962
13687686,2575,3.5,8 February 2019
819465,2582,3.42,May 1980
1257367,2590,3.74,1981
3062434,2601,3.61,1979
8021575,2606,3.72,1977
22192822,2609,3.56,December 1968
1710961,2610,3.37,April 1979
4806092,2611,3.39,23 April 2013
2787070,2612,3.45,1 November 1971
2584968,2613,3.43,1982
3293640,2615,3.41,1996
2870930,2617,3.65,12 May 2002
9708573,2621,3.51,20 January 2017
3496334,2623,3.49,28 February 2012
11747126,2625,3.26,19 March 2021
1895458,2627,3.58,28 October 2008
3747573,2630,3.79,March 1993
4947919,2634,3.42,1975
1553046,2636,3.57,1979
1583201,2641,3.51,1978
2403541,2643,3.77,1 July 2009
497305,2644,3.46,August 1972
1217661,2647,3.03,4 May 1985
1806468,2650,3.65,November 1958
22606376,2660,3.44,11 February 2022
473360,2663,3.53,2 October 2001
1653913,2668,3.61,1971
1217951,2672,3.77,March 1968
632795,2674,3.46,1 October 1996
1154808,2680,3.54,1975
3551883,2681,3.71,March 1962
472404,2682,3.16,8 August 1989
7301620,2683,3.57,2004
3566640,2686,3.37,20 April 2012
2341644,2687,3.69,June 1958
1571428,2690,3.57,April 1961
12956749,2694,3.65,1956
7057874,2695,3.72,22 May 2015
1022860,2699,3.26,1999
3098683,2700,3.65,1965
402080,2703,3.37,August 1971
3109015,2704,3.36,16 April 2010
1518487,2706,3.64,21 May 2008
19396702,2708,3.45,25 December 1978
1849478,2711,3.27,June 1961
14922219,2715,3.6,March 1961
1675893,2716,3.71,1966
6032423,2721,3.7,1962
3210305,2723,3.71,February 1963
604671,2724,3.23,1968
9486044,2726,3.5,February 1958
779297,2728,3.48,June 1976
4006575,2729,3.78,1962
3752009,2731,3.48,2012
1558440,2732,3.47,1977
930038,2734,3.59,1973
4811879,2737,3.46,20 March 2020
2595663,2739,3.65,1972
11868733,2741,3.56,30 April 2018
4238825,2743,3.66,April 1961
8290516,2748,3.43,18 March 2016
926636,2753,3.41,1977
614100,2755,3.62,1974
1787932,2756,3.61,1966
27869046,2757,3.65,January 1968
7977002,2763,3.49,1 August 2000
2725050,2764,3.64,October 1966
8348516,2770,3.48,25 September 2015
8170961,2776,3.49,12 November 2015
11030538,2777,3.42,20 October 2017
394710,2779,3.69,June 1972
3560631,2785,3.19,1955
1232362,2795,3.69,1981
4239133,2798,3.55,1954
4009094,2799,3.73,1975
11032306,2805,3.51,1969
5117562,2809,3.62,June 1956
7986962,2811,3.8,1989
26832545,2814,3.67,March 1960
1434146,2816,3.69,1978
9033736,2817,3.52,1998
6419028,2818,3.54,1978
1567920,2819,3.34,September 1982
7758282,2820,3.61,1970
3848703,2822,2.99,16 December 1963
1488713,2825,3.67,22 February 2005
12015333,2827,3.0,29 April 1977
2326097,2828,3.55,1981
10874325,2830,3.49,10 September 1982
5324392,2831,3.6,1973
4576098,2834,3.48,23 September 1997
3400890,2837,3.5,November 1969
552257,2838,3.51,January 1986
21744346,2839,3.38,21 January 2022
16212816,2841,3.44,October 1974
455315,2844,3.67,1971
2193814,2845,3.34,14 October 2008
2244855,2847,3.0,1977
2152156,2849,3.51,November 1976
2936469,2850,3.57,November 1957
6431515,2851,3.79,March 1960
1024692,2857,3.62,2004
637652,2859,3.53,1968
350858,2861,3.45,27 July 2004
28194478,2864,3.58,31 July 2012
4433569,2867,3.57,1959
2905063,2868,3.43,16 December 1982
1711960,2872,3.64,2004
3754704,2873,3.54,November 1944
1223014,2875,3.73,20 March 2001
15314092,2881,3.53,22 May 2020
13835195,2882,3.87,1959
20857147,2884,3.55,29 October 2021
2118497,2885,3.64,September 1974
4207363,2888,3.5,16 January 2013
7457605,2889,3.68,1959
460605,2892,3.58,1969
6513362,2895,3.73,1970
6365318,2900,3.22,1981
3076047,2902,3.81,1958
3621297,2906,3.67,August 1959
5332768,2911,3.57,2001
1885114,2914,3.46,1971
517752,2916,3.75,1982
3351406,2918,3.3,1970
544208,2921,3.28,November 1977
3210294,2922,3.31,1973
3062879,2925,3.65,July 1957
2621384,2926,3.63,1959
512743,2928,3.54,8 February 2000
522285,2938,3.58,May 2005
10774344,2939,3.64,29 April 2022
10139384,2940,3.44,2017
3055930,2944,3.49,February 1973
10839258,2947,3.53,21 March 1987
6587146,2954,2.94,3 February 2015
434379,2957,3.64,February 1957
2438718,2958,3.68,1958
1334794,2959,3.8,1972
27260970,2960,3.34,May 2023
1249120,2962,3.66,August 1960
1223161,2964,3.63,2002
11818162,2967,3.84,1981
1779892,2975,3.38,1981
16527318,2980,3.62,1994
537020,2985,3.6,25 November 2003
1212617,2988,3.59,1981
1871279,2996,3.57,April 1944
3068641,2999,3.59,1964
13754261,3000,3.6,21 October 1991
6921885,3004,2.99,1 March 2012
11322328,3006,3.51,17 November 2017
7602534,3009,3.48,21 January 1979
7282005,3014,3.55,August 1963
15664740,3016,3.33,2 April 2021
15664740,3018,3.46,23 October 2020
6030660,3019,3.59,May 1957
2795441,3025,3.63,1956
1686648,3026,3.61,1991
