;Rank;Artist;Album;Date;Genres;RYM Rating;Ratings;Reviews
267;268;Don Cherry;"""mu"" First Part";1969;Free Jazz, Spiritual Jazz;3.75;1,729;11
268;269;Larry Young;Unity;August 1966;Post-Bop;3.76;1,417;34
269;270;Matthew Halsall;When the World Was One;16 June 2014;Spiritual Jazz, Modal Jazz;3.77;642;9
270;271;Chick Corea;Light as a Feather;January 1973;Jazz Fusion;3.75;2,271;29
271;272;Ella Fitzgerald & Louis Armstrong;Ella and Louis Again;November 1957;Vocal Jazz, Standards;3.77;653;7
272;273;Himiko Kikuchi;Flying Beagle;1987;Jazz Fusion;3.76;1,475;10
273;274;Elis Regina;Elis;26 May 1972;MPB, Vocal Jazz;3.77;744;12
274;275;Miles Davis;E.S.P.;16 August 1965;Post-Bop;3.74;3,488;50
275;276;Eric Dolphy;Far Cry;1962;Post-Bop;3.76;1,614;19
276;277;Cecil Taylor;The World of Cecil Taylor;1961;Avant-Garde Jazz;3.76;1,152;20
277;278;The Max Roach Trio featuring the Legendary Hasaan;The Max Roach Trio Featuring the Legendary Hasaan;March 1965;Hard Bop;3.78;420;11
278;279;Gil Scott-Heron & Brian Jackson;Winter in America;May 1974;Soul, Jazz-Funk;3.75;1,752;29
279;280;Return to Forever;Where Have I Known You Before;September 1974;Jazz Fusion;3.75;1,426;26
280;281;Sam Rivers;Fuchsia Swing Song;April 1965;Hard Bop, Post-Bop;3.76;1,246;13
281;282;The Oscar Peterson Trio;We Get Requests;14 February 1965;Cool Jazz;3.77;589;4
282;283;Maria Bethânia;Álibi;1978;MPB, Vocal Jazz;3.78;453;9
283;284;Henry Threadgill;Too Much Sugar for a Dime;26 January 1993;Avant-Garde Jazz;3.78;362;13
284;285;Archie Shepp;The Magic of Ju-Ju;May 1968;Free Jazz, Post-Bop;3.76;1,262;14
285;286;Nina Simone;High Priestess of Soul;1967;Vocal Jazz, Soul;3.76;1,190;14
286;287;Black Unity Trio;Al - Fatihah;May 1969;Free Jazz;3.77;541;8
287;288;Tina Brooks;True Blue;December 1960;Hard Bop;3.76;1,201;23
288;289;Larry Young;Lawrence of Newark;June 1973;Avant-Garde Jazz, Jazz Fusion;3.76;820;20
289;290;Henry Threadgill Sextet;Rag, Bush and All;1989;Avant-Garde Jazz;3.78;316;2
290;291;McCoy Tyner;Time for Tyner;July 1969;Post-Bop, Modal Jazz;3.77;460;4
291;292;Alice Coltrane With Strings;World Galaxy;February 1972;Spiritual Jazz, Avant-Garde Jazz;3.75;1,561;18
292;293;The Andrzej Trzaskowski Quintet;The Andrzej Trzaskowski Quintet;1965;Avant-Garde Jazz, Post-Bop;3.76;632;5
293;294;Frank Zappa;Waka / Jawaka;5 July 1972;Jazz-Rock, Jazz Fusion;3.73;4,454;85
294;295;Sun Ra;Space Is the Place;1973;Avant-Garde Jazz;3.73;4,117;56
295;296;Duke Ellington and His Orchestra;Such Sweet Thunder;1957;Big Band;3.76;1,010;18
296;297;The Necks;Aquatic;1994;Avant-Garde Jazz;3.76;817;6
297;298;Joe Henderson;Page One;November 1963;Hard Bop;3.75;1,577;22
298;299;Ibrahim Ferrer;Buena Vista Social Club Presents Ibrahim Ferrer;8 June 1999;Afro-Cuban Jazz, Bolero;3.76;949;11
299;300;Lee Morgan;Cornbread;January 1967;Hard Bop;3.76;902;12
300;301;Freddie Hubbard;Ready for Freddie;April 1962;Hard Bop, Modal Jazz;3.75;1,126;13
301;302;John Zorn;Bar Kokhba;20 August 1996;Chamber Jazz, Jewish Music;3.75;1,100;15
302;303;McCoy Tyner;Asante;April 1974;Post-Bop, Spiritual Jazz;3.76;602;9
303;304;Duke Ellington;Blues in Orbit;May 1960;Big Band;3.76;713;7
304;305;Sons of Kemet;Your Queen Is a Reptile;30 March 2018;Afro-Jazz;3.72;6,292;45
305;306;Bohren & der Club of Gore;Black Earth;28 October 2002;Dark Jazz;3.72;5,117;86
306;307;Bobby Hutcherson;Stick-Up!;February 1968;Hard Bop, Post-Bop;3.76;596;13
307;308;Booker Little;Out Front;October 1961;Hard Bop;3.76;499;13
308;309;Prince Lasha;Firebirds;March 1969;Avant-Garde Jazz;3.76;480;12
309;310;The Miles Davis Quintet;Cookin' With the Miles Davis Quintet;July 1957;Hard Bop;3.73;3,747;37
310;311;Stan Getz;Jazz Samba Encore!;April 1963;Samba-jazz, Bossa nova;3.75;1,112;12
311;312;Rubén González;Introducing...;12 May 1997;Danzón, Afro-Cuban Jazz;3.76;852;8
312;313;Horace Tapscott Quintet;The Giant Is Awakened;1969;Avant-Garde Jazz;3.76;598;7
313;314; Masayoshi Takanaka [高中正義];Brasilian Skies;21 July 1978;Jazz Fusion, Samba-jazz;3.74;1,537;8
314;315;Pat Metheny Group;Still Life (Talking);7 July 1987;Jazz Fusion;3.74;1,474;19
315;316;Manfred Schoof;European Echoes;1969;European Free Jazz;3.73;1,423;16
316;317;Oliver Nelson with Eric Dolphy;Straight Ahead;1961;Hard Bop;3.76;504;6
317;318;Cecil Taylor Segments II (Orchestra of Two Continents);Winged Serpent (Sliding Quadrants);1985;Free Jazz, Experimental Big Band;3.76;376;2
318;319;Nara Leão;O canto livre de Nara;1965;Bossa nova, Samba-jazz;3.75;638;8
319;320;Sonny Clark;Leapin' and Lopin';April 1962;Hard Bop;3.76;574;6
320;321;Jaco Pastorius;Jaco Pastorius;March 1976;Jazz Fusion;3.73;3,412;64
321;322;Arthur Blythe;Lenox Avenue Breakdown;March 1979;Avant-Garde Jazz;3.75;773;14
322;323;Ella Fitzgerald;Ella Fitzgerald Sings the Rodgers and Hart Song Book;1956;Vocal Jazz, Standards;3.75;590;14
323;324;Randy Weston;The Spirits of Our Ancestors;17 March 1992;Spiritual Jazz, Avant-Garde Jazz;3.76;279;6
324;325;Sun Ra;God Is More Than Love Can Ever Be;1979;Spiritual Jazz, Avant-Garde Jazz, Post-Bop;3.75;1,055;13
325;326;Kenny Dorham;Whistle Stop;June 1961;Hard Bop;3.76;431;4
326;327;Sun Ra;Strange Celestial Road;1980;Avant-Garde Jazz, Jazz-Funk, Jazz Fusion;3.74;1,201;13
327;328;Pharoah Sanders;Africa;6 May 1988;Avant-Garde Jazz;3.75;712;2
328;329;McCoy Tyner;Trident;November 1975;Post-Bop;3.76;347;8
329;330;John Coltrane Quartet;Ballads;February 1963;Cool Jazz;3.72;3,752;44
330;331; Masayoshi Takanaka [高中正義];The Rainbow Goblins;1981;Jazz Fusion;3.73;1,401;10
331;332;Art Blakey & The Jazz Messengers;The Freedom Rider;February 1964;Hard Bop;3.76;526;7
332;333;David S. Ware Quartet;Godspelized;1997;Spiritual Jazz, Avant-Garde Jazz;3.75;525;5
333;334;Norman Connors;Dance of Magic;1972;Jazz Fusion;3.76;398;11
334;335;Bud Powell;The Amazing Bud Powell, Vol. 2;1954;Bebop;3.75;783;11
335;336;Ornette Coleman;Dancing in Your Head;June 1977;Jazz Fusion, Avant-Garde Jazz;3.73;1,536;28
336;337;Duke Ellington and His Orchestra;Masterpieces by Ellington;1951;Big Band;3.74;1,348;26
337;338;Otomo Yoshihide's New Jazz Orchestra;Out to Lunch;11 December 2005;Experimental Big Band;3.74;1,112;12
338;339;Pete La Roca;Turkish Women at the Bath;1967;Modal Jazz, Post-Bop;3.75;592;12
339;340;Joe Henderson;Multiple;November 1973;Jazz Fusion;3.75;588;10
340;341;Art Blakey and The Jazz Messengers;The Witch Doctor;January 1968;Hard Bop;3.75;450;4
341;342;Jan Garbarek;Witchi-Tai-To;April 1974;ECM Style Jazz, Spiritual Jazz;3.74;1,041;15
342;343;John Larkin;John Larkin;1986;Vocal Jazz, Avant-Garde Jazz, Post-Bop;3.75;568;7
343;344;Baby Face Willette;Face to Face;July 1961;Soul Jazz;3.76;295;8
344;345;Sonny Rollins;Plus 4;1956;Hard Bop;3.74;772;13
345;346;Freddie Redd Quintet;Shades of Redd;May 1961;Hard Bop;3.77;287;5
346;347;The Don Ellis Orchestra;Electric Bath;1967;Experimental Big Band, Third Stream;3.74;1,199;20
347;348;Billie Holiday;All or Nothing at All;October 1959;Vocal Jazz;3.77;288;2
348;349;Donald Byrd;Places and Spaces;November 1975;Jazz-Funk;3.74;1,055;16
349;350;Frank Sinatra;No One Cares;20 July 1959;Standards, Vocal Jazz;3.73;914;16
350;351;Thelonious Monk;Monk.;25 January 1965;Hard Bop;3.75;686;8
351;352;Art Blakey's Jazz Messengers;A Night in Tunisia;February 1958;Hard Bop;3.75;554;3
352;353;Hannibal;The Angels of Atlanta;1981;Spiritual Jazz;3.76;339;4
353;354;Pharoah Sanders;Jewels of Thought;March 1970;Spiritual Jazz, Avant-Garde Jazz;3.73;2,106;17
354;355;Jan Johansson;Jazz på svenska;1964;Chamber Jazz, Jazz;3.73;1,617;25
355;356;Lester Young;Pres and Teddy;April 1959;Swing;3.75;604;3
356;357;The Horace Silver Quintet;Finger Poppin' With the Horace Silver Quintet;April 1959;Hard Bop;3.75;521;9
357;358;Les McCann;Invitation to Openness;February 1972;Jazz Fusion;3.75;492;13
358;359;Toninho Horta e Orquestra Fantasma;Terra dos pássaros;1980;Jazz Fusion, MPB;3.79;265;4
359;360;Pharoah Sanders;Village of the Pharoahs;1973;Spiritual Jazz;3.74;953;7
360;361;Nucleus;We'll Talk About It Later;March 1971;Jazz-Rock, Jazz Fusion;3.74;945;17
361;362;Anthony Braxton;Five Pieces 1975;October 1975;Avant-Garde Jazz, Modern Creative;3.73;917;11
362;363;Kenny Dorham;Una más (One More Time);January 1964;Hard Bop;3.74;643;8
363;364;Sun Ra & His Solar Arkestra;The Magic City;1966;Free Jazz;3.72;2,093;37
364;365;Pat Metheny Group;Pat Metheny Group;March 1978;Jazz Fusion, ECM Style Jazz;3.73;1,395;25
365;366;The Lounge Lizards;Voice of Chunk;1989;Avant-Garde Jazz, Jazz Fusion;3.74;986;3
366;367;Tomasz Stańko Quintet;Music for K;1970;Free Jazz;3.73;1,004;9
367;368;Tohru Aizawa Quartet;Tachibana, Vol. 1;1975;Spiritual Jazz, Modal Jazz;3.74;587;2
368;369;Shakti With John McLaughlin;A Handful of Beauty;March 1977;Jazz Fusion, Indo Jazz;3.74;599;11
369;370;Thelonious Monk;Solo Monk;May 1965;Stride;3.72;1,899;25
370;371;The Bill Evans Trio;Moon Beams;December 1962;Cool Jazz;3.73;1,293;13
371;372;Sun Ra;Jazz in Silhouette;May 1959;Post-Bop;3.72;3,617;51
372;373;The Jazz Messengers;The Jazz Messengers;November 1956;Hard Bop;3.73;1,167;8
373;374;George Russell Sextet;Ezz-thetics;1961;Modal Jazz, Avant-Garde Jazz;3.73;1,152;15
374;375;Coleman Hawkins;Coleman Hawkins Encounters Ben Webster;November 1959;Cool Jazz;3.74;755;8
375;376;Grant Green;Feelin' the Spirit;October 1963;Soul Jazz;3.74;634;8
376;377;Donald Byrd Band & Voices;A New Perspective;February 1964;Hard Bop;3.73;1,023;20
377;378;Clifford Jordan;Blowing In From Chicago;July 1957;Hard Bop;3.75;451;6
378;379;Hank Mobley;Dippin';August 1966;Hard Bop;3.75;409;6
379;380;Cecil Taylor;Unit Structures;October 1966;Free Jazz;3.70;3,184;57
380;381;Thelonious Monk;Thelonious Alone in San Francisco;January 1960;Hard Bop;3.73;1,189;20
381;382;Robson Jorge;Robson Jorge & Lincoln Olivetti;1982;Boogie, Jazz-Funk;3.73;722;7
382;383;Hermann Szobel;Szobel;January 1976;Jazz Fusion, Avant-Prog;3.74;692;15
383;384;David Murray Octet;Ming;1980;Avant-Garde Jazz;3.73;688;8
384;385;Noah Howard;The Black Ark;1972;Free Jazz, Spiritual Jazz;3.72;1,237;15
385;386;Grachan Moncur III;Some Other Stuff;February 1965;Post-Bop, Avant-Garde Jazz;3.73;804;19
386;387;Dizzy Gillespie;Afro-Cuban Jazz Moods;September 1976;Afro-Cuban Jazz, Big Band;3.75;419;5
387;388;The Amazing Bud Powell;Time Waits: The Amazing Bud Powell, Vol. 4;November 1958;Hard Bop, Bebop;3.75;380;7
388;389;Booker Ervin;The Space Book;October 1965;Post-Bop;3.75;338;5
389;390;Weather Report;Black Market;March 1976;Jazz Fusion;3.71;2,620;46
390;391;Janko Nilovic;Rythmes contemporains;1974;Jazz Fusion, Jazz-Funk, Library Music;3.73;794;15
391;392;George Lewis;Homage to Charles Parker;1979;Avant-Garde Jazz, Modern Creative;3.73;570;11
392;393;Chick Corea;Three Quartets;July 1981;Post-Bop;3.75;340;6
393;394;The Keith Tippett Group;Dedicated to You, But You Weren't Listening;January 1971;Jazz-Rock, Jazz Fusion, Canterbury Scene;3.73;953;21
394;395;Experience Unlimited;Free Yourself;1976;Jazz-Funk, Funk;3.76;291;4
395;396;Don Cherry;Complete Communion;May 1966;Avant-Garde Jazz;3.73;1,146;9
396;397;The Necks;Chemist;May 2006;Avant-Garde Jazz, Post-Rock;3.73;893;13
