concert_mjf,concert_name,participant_names,wd_time,location_name,genre_name
http://www.wikidata.org/entity/Q99398974,Zero 7 concert,"Sia,Yvonne John Lewis,Neil Cowley,Sophie Barker,Robin Mullarkey,Sam Hardaker,Crispin Taylor,Henry Binns,Dedi Madden,Marissa Muhammad,Mozez Wright",2001-07-19T00:00:00Z,Miles Davis Hall,acid jazz
http://www.wikidata.org/entity/Q99398976,The Cinematic Orchestra concert,"Fontella Bass,John Ellis,Luke Flowers,Peezee,Tom Chant,Jason Swinscoe,Phil France",2001-07-19T00:00:00Z,Miles Davis Hall,jazz
http://www.wikidata.org/entity/Q99398976,The Cinematic Orchestra concert,"Fontella Bass,John Ellis,Luke Flowers,Peezee,Tom Chant,Jason Swinscoe,Phil France",2001-07-19T00:00:00Z,Miles Davis Hall,downtempo
http://www.wikidata.org/entity/Q99342144,Temptations concert,"Damon Harris,Derek Jones,Michael Modock,Freddie Hutson,Walter Carter,Walter Lee Jones, Jr.,Clayton Hooker,Martinus Montgomery,Ronnie Nelson,Jerry Carr,Terrance Forsythe,Nathaniel Nolan",2001-07-19T00:00:00Z,Auditorium Stravinski,rhythm and blues
http://www.wikidata.org/entity/Q99342144,Temptations concert,"Damon Harris,Derek Jones,Michael Modock,Freddie Hutson,Walter Carter,Walter Lee Jones, Jr.,Clayton Hooker,Martinus Montgomery,Ronnie Nelson,Jerry Carr,Terrance Forsythe,Nathaniel Nolan",2001-07-19T00:00:00Z,Auditorium Stravinski,soul music
http://www.wikidata.org/entity/Q99342144,Temptations concert,"Damon Harris,Derek Jones,Michael Modock,Freddie Hutson,Walter Carter,Walter Lee Jones, Jr.,Clayton Hooker,Martinus Montgomery,Ronnie Nelson,Jerry Carr,Terrance Forsythe,Nathaniel Nolan",2001-07-19T00:00:00Z,Auditorium Stravinski,funk
http://www.wikidata.org/entity/Q99398975,Gilles Peterson concert,Gilles Peterson,2001-07-19T00:00:00Z,Miles Davis Hall,minimalist music
http://www.wikidata.org/entity/Q99398975,Gilles Peterson concert,Gilles Peterson,2001-07-19T00:00:00Z,Miles Davis Hall,electronica
http://www.wikidata.org/entity/Q99398977,Gilles Peterson and Benji B. concert,"Gilles Peterson,Benji B",2001-07-19T00:00:00Z,Miles Davis Hall,electronica
http://www.wikidata.org/entity/Q99398977,Gilles Peterson and Benji B. concert,"Gilles Peterson,Benji B",2001-07-19T00:00:00Z,Miles Davis Hall,hip hop
http://www.wikidata.org/entity/Q99398971,Raw Deal concert,"Gary Bardouille,George Double,Jacko Peake,Jim Robins,Nick Van Gelder",2001-07-19T00:00:00Z,Miles Davis Hall,world music
http://www.wikidata.org/entity/Q99398971,Raw Deal concert,"Gary Bardouille,George Double,Jacko Peake,Jim Robins,Nick Van Gelder",2001-07-19T00:00:00Z,Miles Davis Hall,dance music
http://www.wikidata.org/entity/Q99342130,Klaus Doldinger's Passport concert,"Klaus Doldinger,Biboul Darouiche,Kristian Schultze,Wolfgang Schmid,Peter O`mara,Kurt Cress,Robert Di Gioia",2001-07-19T00:00:00Z,Auditorium Stravinski,jazz
http://www.wikidata.org/entity/Q99342130,Klaus Doldinger's Passport concert,"Klaus Doldinger,Biboul Darouiche,Kristian Schultze,Wolfgang Schmid,Peter O`mara,Kurt Cress,Robert Di Gioia",2001-07-19T00:00:00Z,Auditorium Stravinski,funk
http://www.wikidata.org/entity/Q99342071,George Clinton & The P-Funk All Stars concert,"Robert Johnson,Funkadelic,Eric McFadden,Razor,Garry Shider,DeWayne McKnight,Billy Bass Nelson,Belita Woods,Terry Scott Taylor,Frankie ""Kash"" Waddy,RonKat Spearman,Clip Payne,Steve Boyd,Ron Wright,Lige Curry,Jerome Rodgers,Sheila Horn,George aka Dr. Funkenstein Clinton",2001-07-20T00:00:00Z,Auditorium Stravinski,funk
http://www.wikidata.org/entity/Q99342071,George Clinton & The P-Funk All Stars concert,"Robert Johnson,Funkadelic,Eric McFadden,Razor,Garry Shider,DeWayne McKnight,Billy Bass Nelson,Belita Woods,Terry Scott Taylor,Frankie ""Kash"" Waddy,RonKat Spearman,Clip Payne,Steve Boyd,Ron Wright,Lige Curry,Jerome Rodgers,Sheila Horn,George aka Dr. Funkenstein Clinton",2001-07-20T00:00:00Z,Auditorium Stravinski,psychedelic rock
http://www.wikidata.org/entity/Q99398970,Scienz of Life concert,"Tariq L,Lil' Sci,I D 4 Windz,Inspector Willabee",2001-07-20T00:00:00Z,Miles Davis Hall,jazz
http://www.wikidata.org/entity/Q99398970,Scienz of Life concert,"Tariq L,Lil' Sci,I D 4 Windz,Inspector Willabee",2001-07-20T00:00:00Z,Miles Davis Hall,hip hop
http://www.wikidata.org/entity/Q99342096,Living Colour concert,"Vernon Reid,Doug Wimbish,Corey Glover,Will Calhoun",2001-07-20T00:00:00Z,Auditorium Stravinski,hard rock
http://www.wikidata.org/entity/Q99342096,Living Colour concert,"Vernon Reid,Doug Wimbish,Corey Glover,Will Calhoun",2001-07-20T00:00:00Z,Auditorium Stravinski,funk
http://www.wikidata.org/entity/Q99398968,The Pharcyde concert,"Mark Walker,Ollie Brown,Funky Gutiervez,Imani",2001-07-20T00:00:00Z,Miles Davis Hall,rap
http://www.wikidata.org/entity/Q99398968,The Pharcyde concert,"Mark Walker,Ollie Brown,Funky Gutiervez,Imani",2001-07-20T00:00:00Z,Miles Davis Hall,alternative hip hop
http://www.wikidata.org/entity/Q99342083,Run DMC concert,"Jam Master Jay,Darryl McDaniels,Run Run Run",2001-07-20T00:00:00Z,Auditorium Stravinski,rap
http://www.wikidata.org/entity/Q99398969,Rae & Christian concert,"Ray Parker Jr.,Steve Brown,Spikey T,Sneaky,Chip Wickham,Finga Thing,Veba,Chris Cruiks,Danny Ward",2001-07-20T00:00:00Z,Miles Davis Hall,jazz
http://www.wikidata.org/entity/Q99398969,Rae & Christian concert,"Ray Parker Jr.,Steve Brown,Spikey T,Sneaky,Chip Wickham,Finga Thing,Veba,Chris Cruiks,Danny Ward",2001-07-20T00:00:00Z,Miles Davis Hall,soul music
http://www.wikidata.org/entity/Q99398969,Rae & Christian concert,"Ray Parker Jr.,Steve Brown,Spikey T,Sneaky,Chip Wickham,Finga Thing,Veba,Chris Cruiks,Danny Ward",2001-07-20T00:00:00Z,Miles Davis Hall,hip hop
http://www.wikidata.org/entity/Q99398961,Raw Deal concert,Roger Sanchez,2001-07-21T00:00:00Z,Miles Davis Hall,dance music
http://www.wikidata.org/entity/Q99398963,Basement Jaxx concert,"Ademilde Costa,Damien Peachy,Simon Ratcliffe,Mandy Senior,Kelly Briggs,Félix Buxton,Jorge Batista,Cassie Watson,Bellinda James",2001-07-21T00:00:00Z,Miles Davis Hall,dance music
