dave whiteley;pop music,hip hop culture
paul edmeade;pop music,hip hop culture
adam donghue;pop music,hip hop culture
rihanna kenny;dance music,hip hop culture,traditional folk music,trip hop,techno,soul music,pop music
jonathan white;downtempo,dance music,electronica,trip hop
patrick dawes;downtempo,hip hop culture,trip hop,funk,jazz-funk,electronica
mary lee;downtempo,electronica,trip hop
andy cocup;downtempo,electronica,trip hop
tom findlay;downtempo,electronica,trip hop
keeling lee;downtempo,electronica,trip hop
micki dee;downtempo,electronica,trip hop
mickael daniels;downtempo,electronica,trip hop
andy treacey;downtempo,dance music,trip hop,techno,electronica
martin ditcham;music of Africa,drum and bass,big band,music of Latin America,progressive rock,soul music,rhythm and blues,cool jazz,pop music,blues,electronica,indie pop,rock music
john mckenzie;drum and bass,rhythm and blues,acid jazz,electronica,indie pop
ben watt;electronica,drum and bass,indie pop
tracey thorn;electronica,drum and bass,indie pop
matthieu michel;music of Africa,big band,jazz-funk,jazz
soriba kouyaté;music of Africa,jazz
joel allouche;music of Africa,jazz
linley marthe;music of Africa,post-bop,jazz fusion,world music,jazz
nguyên lê;music of Africa,post-bop,big band,jazz fusion,world music,hard bop,rock music
huang thanh;jazz fusion
renaud garcia-fons;jazz fusion,Latin jazz,flamenco
tino di geraldo;jazz fusion
jens thomas;jazz
paoio fresu;jazz
antonello salis;jazz
emilíana torrini;alternative rock,indie pop,trip hop
david randall;downtempo,trip hop,alternative rock,electronica,indie pop
charlie vetter;alternative rock,indie pop,trip hop
siggi baldursson;alternative rock,indie pop,trip hop
charlie beddoes;alternative rock,indie pop,trip hop
luka bloom;traditional folk music
neville malcom;music of Africa,alternative rock,crossover jazz,rapping,jazz
francis fuster;alternative rock,music of Africa,Afrobeat,jazz
keziah jones;music of Africa,rhythm and blues,alternative rock,blues,funk,rock music,jazz
richard casseli;alternative rock,music of Africa,jazz
brad mehldau;bebop,jazz fusion,jazz
fleurine;jazz
jérome barras;big band,traditional folk music,vocal music
frédéric pont;big band,traditional folk music,vocal music
david epiney;big band,traditional folk music,vocal music
pascal romailler;big band,traditional folk music,vocal music
joel romailler;big band,traditional folk music,vocal music
eric rey;big band,traditional folk music,vocal music
claude-francois bagnoud;big band,traditional folk music,vocal music
jean phillipe;big band,traditional folk music,vocal music
david rey;big band,traditional folk music,vocal music
