"name"
ableton
accordion
acoustic drums
ad
agogo
akai mpc
alphorn
bacurinha
bag pipes
bajo sexto
balafon
bandolin
bandoneon
bandurria
banjo
bansuri
bara
baritone ukulele
bassoon
bata
beats
bell
berimbau
big conga
big drum
biniou
bodhran
body percussion
bombard
bombo
bones
bongo
boobam
bouzouki
brass
büchel
caixinha
cajon
calabash
cavaquinho
cello
charango
cittern
claps
clarinet
clavinet
computer
computer music programmation
concertina
conch
congas
control box
controller
cornet
cowbell
cristal baschet
cuica
cymbal
daf
decks
dhol
didgeridoo
digital sound system
dj
djembe
dobro
double bass
double seconds
double violin
drum
drum machine
drum pad
drumitar
drums
dum dum
dutar
e bow
echoes
echoplex
effects
electric keyboards
electric violin
electronic drums
electronic machines
electronic percussion
electronic rythms
electronic wind instrument   ewi
electronics
english horn
euphonium
fender rhodes
fiddle
fife
flugelhorn
flute
foot percussion
french horn
funkbox
gadulka
gaida
ghatam
giant conga
glass harmonica
glockenspiel
goblet drum
gologo
gong
guiro
guitar
gumbri
hackbrett
hammond
hammond b3
hammond c3
hang
hardware
harmonica
harmoniser
harmonium
harp
hoddu
horn
hulusi
hurdy gurdy
irish whistle
janggu
kalimba
kanjira
kaval
kemenche
keyboards
kora
koto
krakebs
lagerphone
lap steel
laptop
laud
liliu ukulele
loop
low whistle
lukeme
lute
lyricon
mandolin
maracas
marcodi
maretangham
marimba
mbira
mellophone
mellotron
melodica
midi maestro
minimoog
mixer synths
mixing desk
moog
moog taurus
mrhube
mridangam
musical saw
musser vibraphone
"ngoni"
nai
nang
ney
nord
nyanyeru 
oboe
ondes martenot
organ
oud
palmas
pandeiro
percussions
piano
piccolo
pikasso
pint pots
qanun
quena
rabeca
recorder
repinique
reverse flugelhorn
roland juno
rubboard
sabar drum
sampler
samples
saxophone
scratch
sequencer
shamisen
shekere
sirenette
sitar
small drum
small percussion
snare
sounds
sousaphone
space echo
spd
steeldrum
strings
surdo
synthesized horns
synthesizer
tabla
taiko
talk box
talking drum 
tambourine
tambura
tapes
tar
tarabooka
tarogato
tbil
technology
theremin
timbau
timpani
tin whistle
tindé
tonbak
toys
tres
triangle
trombone
trumpet
tuba
turntables
uilleann pipes
ukulele
vibraphone
vinyl
viola
viola da gamba
violao
violin
vocal
vocal effects
vocals
vocoder
washboard
whammy
whistle
woodwinds
wurlitzer
xalam
xylophone
yamaha dx7
