14541297,8,4.07,10 October 1969
23290832,9,4.1,March 1961
549847,11,4.09,February 1971
18150907,12,4.05,January 1959
5923976,17,4.03,March 1960
170884,19,3.98,April 1964
532432,20,3.97,February 1966
20348707,23,3.96,August 1964
374527,24,3.99,1 September 1961
5067291,35,3.95,18 January 2004
2168277,36,3.95,1979
513736,45,3.94,October 1970
890817,56,3.91,1966
3696380,57,3.9,February 1977
9422431,68,3.87,23 September 2016
1699119,79,3.85,27 November 1972
1222074,82,3.88,August 1962
3549349,86,3.86,December 1954
12055788,88,3.81,1968
17159428,89,3.86,1955
10635874,101,3.85,May 1974
732591,103,3.83,July 1956
2694313,106,3.86,February 1976
21827842,108,3.84,October 1964
2785498,115,3.85,1973
119838,121,3.85,28 April 1998
5133248,122,3.83,May 1962
8777789,127,3.8,26 January 1998
1918240,129,3.83,May 1973
1442126,134,3.83,October 1967
5781364,138,3.84,1958
10359904,140,3.79,1976
2604648,143,3.83,October 1957
5806992,148,3.8,25 May 1979
875495,153,3.81,August 1962
1377840,159,3.81,15 May 1956
5186127,161,3.8,October 1956
1328155,165,3.81,18 March 2008
6487881,166,3.82,1956
7924662,176,3.79,2 June 2003
6265588,192,3.8,September 1964
466632,193,3.8,January 1967
2508028,205,3.8,May 1968
19583212,215,3.78,December 1962
4134181,216,3.79,July 1962
1471694,218,3.8,1957
4262911,223,3.78,1 July 1976
712232,230,3.79,September 1974
18728518,232,3.78,February 1961
11281183,245,3.78,1973
1241428,250,3.77,December 1959
1020318,252,3.78,September 1976
568171,255,3.76,1972
1630905,259,3.77,November 1977
16840773,266,3.76,April 1955
13610596,278,3.78,March 1965
9242511,283,3.78,1978
4834811,287,3.77,May 1969
1763330,293,3.76,1965
435320,294,3.73,5 July 1972
14115785,299,3.76,8 June 1999
4952581,314,3.74,21 July 1978
3144311,325,3.75,1979
21793528,331,3.73,1981
22555913,335,3.75,1954
19008733,341,3.75,January 1968
665526,343,3.75,1986
13813020,344,3.76,July 1961
2277717,352,3.75,February 1958
14130525,363,3.74,January 1964
1026812,364,3.72,1966
760428,366,3.74,1989
11705183,368,3.74,1975
1445395,369,3.74,March 1977
5267783,375,3.74,November 1959
1270551,377,3.73,February 1964
952433,391,3.73,1974
13613129,395,3.76,1976
609586,399,3.74,March 1998
2132144,401,3.72,11 April 1960
1523619,403,3.73,1959
481005,411,3.73,1974
822491,415,3.73,1967
1186962,427,3.73,November 1959
845521,428,3.73,November 1962
2017372,430,3.72,April 1983
2138488,435,3.73,August 1974
969390,441,3.73,1958
6230857,442,3.72,25 February 1976
14216796,448,3.71,1964
1773855,450,3.69,February 1966
604647,461,3.69,1981
17159428,463,3.72,1955
26681327,466,3.74,February 1966
11237218,470,3.73,1960
22910555,477,3.72,February 1960
2884216,482,3.71,1955
2718052,491,3.71,September 1976
4830875,493,3.71,1 September 1997
685529,497,3.73,1966
2362528,502,3.71,1 September 1961
2392804,511,3.72,August 1967
1291688,514,3.72,July 1972
3153518,516,3.7,November 1971
2199198,518,3.69,1959
1902929,521,3.72,15 September 1998
2361151,523,3.7,June 1947
13729994,525,3.69,10 April 1974
1885707,539,3.7,September 1973
2018290,541,3.66,5 March 1956
27428409,545,3.67,2 June 2023
1907901,548,3.69,December 1962
3196076,550,3.7,June 1954
24577814,551,3.69,June 1963
2780559,553,3.68,1967
1102250,558,3.72,September 1959
15919839,560,3.69,15 October 2002
6119080,565,3.71,1966
2096624,566,3.69,January 1957
2659391,570,3.67,February 1968
1293752,572,3.69,1989
2768209,574,3.67,March 1967
5725699,592,3.69,16 September 1997
19289029,594,3.7,August 1965
7091281,606,3.69,1963
12596075,608,3.7,25 March 2002
6265588,610,3.69,April 1967
648913,623,3.67,1972
243232,633,3.68,7 June 2011
1248497,634,3.69,July 1960
1199919,646,3.69,2006
1216069,649,3.68,2 February 2004
461152,654,3.67,April 1976
4328443,655,3.68,1973
2000393,657,3.65,January 1958
437567,667,3.68,May 1967
23579624,668,3.68,January 1964
228202,670,3.66,July 1971
263035,671,3.67,1975
12055788,682,3.65,1973
4952581,700,3.66,1978
1593314,704,3.64,1 December 1977
7910012,710,3.67,16 December 1994
504853,711,3.64,1992
1802935,712,3.67,December 1968
23225315,713,3.7,June 1957
