"id","rank","rating","year"
1643191,407,3.6,1993
8216744,408,3.61,2015
4691120,409,3.82,1994
3938251,410,3.59,2012
294315,413,3.58,1990
2064707,414,3.6,1991
2417085,415,3.6,1985
1226446,417,3.62,1994
9284808,423,3.76,1976
5228647,425,3.6,2003
267453,430,3.57,1970
13451988,431,3.57,2019
1494703,435,3.56,2008
10979523,436,3.99,1966
6888421,437,3.53,1959
992741,440,3.57,1955
4139123,441,3.74,1983
3768078,442,3.78,2007
12437140,444,3.57,2018
13208804,445,3.6,2016
1691624,448,3.57,1984
1017533,449,3.56,2006
3133011,451,3.53,1966
2689585,455,3.58,1982
5242089,457,3.56,1964
290784,459,3.54,1992
481021,460,3.56,1994
18858616,462,3.54,2021
794436,464,3.57,1954
13721566,465,3.69,2019
633177,469,3.7,2000
13586076,472,3.53,1971
3792513,473,3.54,1996
3258803,476,3.88,1966
6403413,480,3.55,1998
1881197,481,3.81,2007
1243912,482,3.88,2002
1024477,484,3.71,1999
5425235,485,3.78,2000
529723,488,3.54,1995
6290830,491,3.54,1978
2491734,493,3.6,1962
6517641,494,3.51,1958
514294,495,3.55,1973
5538925,496,3.54,2012
1757550,500,3.52,1971
1439356,501,3.55,1962
2689585,502,3.55,1975
6229952,505,3.52,2014
719180,506,3.52,1977
1233531,508,3.51,1982
12420365,509,3.52,1979
331095,511,3.53,1977
1152331,512,3.61,1997
8269270,513,3.92,1961
15919250,514,3.72,2020
3286607,515,3.51,1989
5629297,517,3.49,2022
1872346,518,3.52,2021
15383,519,3.52,1997
11333133,522,3.53,1993
2465709,529,3.51,1987
11123354,530,3.5,1976
9535416,531,3.62,2016
6755325,532,3.52,1981
3471773,536,3.51,2012
21298003,539,3.51,2010
1694415,540,3.73,1995
4934453,541,3.48,2013
12439544,542,3.89,1972
16226233,543,3.69,2015
1369108,546,3.51,2000
8152891,547,3.45,1974
1179252,549,3.5,1976
4850158,550,3.77,2003
1095857,554,3.46,1993
9403808,556,3.51,2023
3864534,557,3.53,2012
26516117,559,3.47,2023
19393945,563,3.48,1996
1030827,566,3.82,2004
5949734,571,3.55,1971
1078087,574,3.96,1984
16690860,575,3.46,2018
11135143,579,3.48,2017
11470436,580,3.47,1972
5142777,582,3.48,1988
1018010,585,3.62,1994
1060412,590,3.64,2006
997371,591,3.76,2000
753212,592,3.56,1969
3312183,597,3.95,1990
1047232,599,3.47,2003
1691922,600,3.46,1975
4505465,602,3.44,1990
8208930,603,3.47,2016
15920007,608,3.56,2020
5300453,609,3.46,1965
4079094,610,3.66,2003
1846619,611,3.75,1994
4273150,613,3.46,1996
1492654,614,3.8,1998
1385239,620,3.71,1995
1008189,621,3.91,1993
15422003,622,3.46,1988
1016361,626,3.45,1980
4011163,627,3.95,2001
2073190,628,3.45,1977
2138587,631,3.77,1992
4040611,632,3.73,2012
23393330,634,3.49,1990
1579270,635,3.74,1997
4896363,637,3.96,1989
6517641,639,3.72,1966
695000,649,3.54,1996
3715143,650,4.05,2011
3342375,653,3.91,1964
15281036,656,3.43,2020
16274079,657,3.42,2015
8048325,659,4.01,1982
3614311,663,3.75,1961
6287867,666,3.67,2005
1080865,669,3.61,2020
1025469,671,3.64,2006
1321483,672,3.75,2000
979906,677,3.45,1993
1672810,678,3.58,2003
15652701,679,3.73,2016
3611611,681,3.83,1988
1103706,682,3.42,1996
1491686,690,3.52,2005
26391233,692,3.39,2023
198654,693,3.42,2001
10879640,695,3.48,2017
1843499,697,3.65,1991
3400961,700,3.36,1998
5937995,703,3.37,2014
9759794,704,3.74,1950
27127434,708,3.89,1975
1663167,711,3.67,1966
5067696,712,3.61,1987
997225,714,3.37,2004
14028383,717,3.38,1982
680717,724,3.48,1995
168288,727,3.62,1969
11403,728,3.37,1995
3543309,730,4.24,1973
7937276,731,3.93,1989
11715110,732,3.93,1998
2249796,736,3.38,1991
1859581,739,3.9,1970
3376814,745,3.89,1983
2802604,746,3.36,2011
6636464,747,3.44,1999
712382,748,3.54,1986
1245120,750,3.61,1999
1018617,752,3.98,1967
28454119,753,3.88,2023
2490497,754,3.98,2001
2247384,758,3.43,1998
1000405,760,3.81,1993
25821475,762,3.72,1998
2974574,764,3.79,1991
9915274,765,3.86,1960
18978634,766,3.3,2020
611050,768,3.39,1996
2541096,770,3.34,1987
960328,772,3.34,1967
3798912,777,3.92,2017
1441963,778,3.35,2005
604056,780,3.47,1992
5111236,782,4.07,2010
17991508,783,3.35,2021
18973468,785,3.71,2003
11093881,789,3.52,2017
1531466,793,3.53,1999
6889342,794,3.67,2010
2452986,796,3.85,1977
5768665,798,3.39,1993
17151811,799,3.3,2021
381760,802,3.3,1969
1682518,803,3.31,2008
514294,804,3.48,1976
1030063,805,3.4,1997
4888784,806,3.4,2013
317107,807,3.57,1990
9845373,809,3.83,1994
14174378,812,3.49,1992
6275621,813,3.28,1994
1226497,815,3.58,1995
1122023,816,3.71,1994
3087310,817,3.97,1971
2930860,818,3.78,1998
633370,821,3.73,2002
9489610,822,3.26,1968
722527,823,3.89,1992
1218400,826,3.59,1971
4896822,829,3.88,1966
3989955,831,3.63,1986
7798393,832,3.89,1984
12524051,833,3.88,2007
3026231,836,3.3,2011
24550613,840,3.46,2005
9890371,842,3.88,2010
15079008,844,4.02,1971
1945544,847,3.61,1988
11838206,852,3.79,2010
2511183,854,3.52,2010
2032054,855,3.48,1991
4138753,857,3.68,1962
317107,858,3.68,1974
1099008,859,3.88,1993
6698137,863,3.9,1962
4667576,865,3.72,1995
1872346,866,3.95,1996
3212013,867,3.31,1983
4831329,872,3.73,2009
7377575,873,3.86,1968
8485403,875,3.27,2016
12020985,876,3.34,1996
2034128,877,3.52,1984
3582404,880,3.73,1992
7233614,881,3.25,2016
6426884,882,3.87,1983
121149,884,3.58,1993
3892385,885,3.73,2003
2554866,889,3.7,2005
4813845,893,3.85,2012
1249840,894,3.23,1998
1042999,898,3.73,2003
5847199,899,3.75,1972
337370,900,3.73,1968
1933119,904,3.57,2000
4850613,906,3.6,2005
6564261,911,3.72,2012
2725003,912,4.01,1973
7062172,913,4.02,1983
1137741,915,3.57,1990
4011187,918,3.92,2004
7776029,919,3.59,1984
1922279,923,3.24,2009
9603811,926,3.4,2014
592263,929,3.38,1998
5077516,930,3.91,1984
3238054,933,3.84,1988
12498870,934,3.92,2000
5144528,935,3.71,2011
6455173,938,3.66,2004
2008453,939,3.61,1997
371832,945,3.76,1970
4656646,948,3.89,1957
1046310,950,3.21,1978
17608120,952,3.21,2021
656677,953,3.53,1987
2163241,954,3.72,1957
2279346,956,3.21,1987
451933,957,3.61,2003
3964048,958,3.73,2003
998629,959,3.8,1993
23520479,960,3.21,2020
2734770,963,3.83,1982
2138687,964,3.19,2007
13975573,965,3.97,1960
16073462,966,3.2,2020
6827177,969,3.62,2015
3543309,973,3.98,1989
