concert_mjf,concert_name,participant_names,wd_time,location_name,genre_name
http://www.wikidata.org/entity/Q99199334,Marcus Miller concert performed during Montreux Jazz Festival the 2013-07-21,"Marcus Miller,Sean Jones,Brett Williams,Adam Agati,Louis Cato",2013-07-21T00:00:00Z,Auditorium Stravinski,jazz fusion
http://www.wikidata.org/entity/Q99197766,"Iván ""Melón"" Lewis & Ayer y Hoy Quartet concert performed during Montreux Jazz Festival the 2014-07-06","Michael Olivera,Iván ""Melón"" Lewis,Ariel Bringuez",2014-07-06T00:00:00Z,Montreux Jazz Club,jazz
http://www.wikidata.org/entity/Q99197764,Buika concert performed during Montreux Jazz Festival the 2014-07-06,"Concha Buika,Jose Posada Oviedo,Daniel Lopez Vicente,Ramon Suarez Escobar",2014-07-06T00:00:00Z,Montreux Jazz Club,jazz
http://www.wikidata.org/entity/Q99197761,Lee Ritenour and Dave Grusin concert performed during Montreux Jazz Festival the 2014-07-07,"Lee Ritenour,Dave Grusin,Sonny Emory,Melvin Lee Davis",2014-07-07T00:00:00Z,Montreux Jazz Club,jazz fusion
http://www.wikidata.org/entity/Q99197763,Leandro Pellegrino and Six Strings Theory Competition Winners concert performed during Montreux Jazz Festival the 2014-07-07,"Antal Pusztai,Giorgi Mikadze,Leandro Pellegrino,Q99694082,Andres Rotmistrovsky",2014-07-07T00:00:00Z,Montreux Jazz Club,jazz
http://www.wikidata.org/entity/Q99197758,Tigran Hamasyan Quintet concert performed during Montreux Jazz Festival the 2014-07-08,"Tigran Hamasyan,Sam Minaie,Q99675459,Areni Agbabian,Charles Altura",2014-07-08T00:00:00Z,Montreux Jazz Club,jazz fusion
http://www.wikidata.org/entity/Q99197760,Neil Cowley Trio concert performed during Montreux Jazz Festival the 2014-07-08,"Neil Cowley,Evan Jenkins,Rex Horan",2014-07-08T00:00:00Z,Montreux Jazz Club,jazz fusion
http://www.wikidata.org/entity/Q99197759,François Lindemann Quartet concert performed during Montreux Jazz Festival the 2014-07-08,"Alvin Queen,François Lindemann,Patrice Moret,Jerry Lopez",2014-07-08T00:00:00Z,Montreux Jazz Club,post-bop
http://www.wikidata.org/entity/Q99197755,Jack DeJohnette Trio concert performed during Montreux Jazz Festival the 2014-07-09,"Jack DeJohnette,Ravi Coltrane",2014-07-09T00:00:00Z,Montreux Jazz Club,free jazz
http://www.wikidata.org/entity/Q99197757,Isfar Sarabski concert performed during Montreux Jazz Festival the 2014-07-09,"Isfar Sarabski,Osman Eyublu,Sasha Mashin,Umida Abbasova,Ilgar Rzayev,Makar Novikov,Shakhriyar Imanov,Aleksey Miltikh",2014-07-09T00:00:00Z,Montreux Jazz Club,jazz
