id;genres
28760;Electronic/Dance,Jazz
28762;Electronic/Dance,Jazz
31245;Electronic/Dance,Jazz
31246;Electronic/Dance,Jazz
31281;Electronic/Dance
31283;Electronic/Dance
31284;Electronic/Dance
31285;Electronic/Dance
31289;Electronic/Dance
31290;Electronic/Dance
4992;World Music,Rock/Metal
31295;World Music,Rock/Metal
31296;World Music,Rock/Metal
31307;World Music,Rock/Metal
31310;World Music,Rock/Metal
31311;World Music,Rock/Metal
31312;World Music,Rock/Metal
33645;Electronic/Dance
31319;Electronic/Dance,Classical/Contemporary
31320;Electronic/Dance,Classical/Contemporary
31321;Electronic/Dance,Classical/Contemporary
31323;Electronic/Dance
31324;Electronic/Dance
31325;Electronic/Dance
31326;Electronic/Dance
31327;Electronic/Dance
31329;Electronic/Dance
31332;Electronic/Dance
31334;Electronic/Dance
31338;Electronic/Dance
31339;Electronic/Dance
32000;Electronic/Dance,R&B/Soul & blues,Hip-Hop/Rap,Classical/Contemporary,Jazz
23958;Electronic/Dance,Classical/Contemporary,R&B/Soul & blues,Jazz
5615;Electronic/Dance,Jazz
9361;Electronic/Dance,Jazz
9366;Electronic/Dance,Jazz
9370;Electronic/Dance,Jazz
27649;Electronic/Dance,Jazz
27798;World Music,Electronic/Dance,Jazz
28923;Electronic/Dance,Jazz
31382;Electronic/Dance,Jazz
33651;Pop,Electronic/Dance
33652;Pop,Electronic/Dance
33653;Pop,Electronic/Dance
11269;Pop,Electronic/Dance,Rock/Metal
33655;Pop,Electronic/Dance
32035;Pop,Electronic/Dance,World Music
33657;Pop,Electronic/Dance
33658;Pop,Electronic/Dance
27637;Electronic/Dance,Hip-Hop/Rap
27639;Electronic/Dance
33649;Electronic/Dance
33650;Electronic/Dance
599;Rock/Metal,R&B/Soul & blues,Jazz
5215;Rock/Metal,R&B/Soul & blues
9567;Rock/Metal,R&B/Soul & blues
9573;Rock/Metal,R&B/Soul & blues
9576;Rock/Metal,R&B/Soul & blues
9577;R&B/Soul & blues
13043;Rock/Metal,R&B/Soul & blues
19508;Rock/Metal,R&B/Soul & blues
30084;Rock/Metal,R&B/Soul & blues
30468;R&B/Soul & blues
30472;R&B/Soul & blues
28036;Pop,Rock/Metal,R&B/Soul & blues
30435;Rock/Metal,R&B/Soul & blues
30476;Rock/Metal,R&B/Soul & blues
30482;Rock/Metal,R&B/Soul & blues
30486;Rock/Metal,R&B/Soul & blues
30488;Rock/Metal,R&B/Soul & blues
30490;Rock/Metal,R&B/Soul & blues
30491;Rock/Metal,R&B/Soul & blues
30492;Rock/Metal,R&B/Soul & blues
637;Pop,Rock/Metal,Jazz
19763;Pop,Rock/Metal,Jazz
30481;Pop,Jazz
30485;Pop,Jazz
2120;R&B/Soul & blues,Jazz
8450;R&B/Soul & blues,Jazz
27730;R&B/Soul & blues,Jazz
30510;R&B/Soul & blues,Jazz
30514;R&B/Soul & blues,Jazz
2805;World Music,Pop
2816;World Music,Pop,R&B/Soul & blues,Jazz
