id;genres
6756;jazz fusion,bebop,jazz
6757;jazz fusion,bebop,jazz
6758;jazz fusion,bebop,jazz
6759;jazz fusion,bebop,jazz
6760;jazz fusion,bebop,jazz
6761;jazz fusion,jazz
23010;jazz fusion,jazz
25674;jazz fusion,bebop
25676;jazz fusion,bebop
9060;swing music
9061;swing music
9063;swing music
9065;swing music
9066;swing music
17660;jazz,swing music
30773;swing music
30774;swing music
30775;swing music
30777;swing music
30778;swing music
30779;swing music
30781;swing music
30782;swing music
30784;swing music
30785;swing music
1093;jazz
1100;jazz
1101;jazz
1102;jazz
1103;jazz
7401;nan
8794;nan
10015;nan
10029;nan
845;latin jazz,jazz fusion,big band,jazz,cool jazz
1515;nan
24328;nan
30808;nan
30809;nan
30810;nan
8678;nan
30863;nan
1034;nan
6828;nan
9394;jazz fusion,acid jazz
30868;nan
3845;nan
19263;nan
19266;nan
19270;nan
19271;nan
30906;nan
30909;nan
30910;nan
30911;nan
30912;nan
225;jazz fusion
2892;jazz fusion,jazz
5107;jazz fusion
5202;jazz fusion
16155;jazz fusion
19114;jazz fusion,bebop,jazz,afro-cuban jazz
21843;jazz fusion
30920;jazz fusion
30921;jazz fusion
30923;jazz fusion
30924;jazz-funk,jazz fusion
30926;jazz fusion
30928;jazz fusion
5156;cool jazz
5270;cool jazz
5271;cool jazz
10103;cool jazz
10104;cool jazz
10106;cool jazz
10108;cool jazz
30942;nan
3935;bossa nova
3937;bossa nova
3943;nan
3952;nan
6103;nan
6106;nan
6108;nan
7502;nan
19418;nan
19422;nan
30992;nan
30997;nan
31001;nan
1870;nan
8935;nan
8938;nan
22937;nan
31018;nan
31019;nan
31020;nan
31021;nan
2192;jazz
30984;nan
30987;nan
30989;nan
30991;nan
30993;nan
30994;nan
30996;nan
30998;nan
31000;nan
31003;nan
31005;nan
31008;nan
31010;nan
31011;nan
3961;nan
3964;nan
16441;nan
23809;nan
28314;nan
31062;nan
31063;nan
31079;nan
31094;nan
31093;nan
31091;nan
31090;nan
31089;nan
31088;nan
31085;nan
31084;nan
31081;nan
3973;bossa nova
31077;nan
31074;nan
31073;nan
31071;nan
31060;nan
29874;nan
12932;jazz fusion,jazz,latin jazz
5002;nan
4998;big band
28230;nan
28305;nan
28310;nan
31107;nan
31109;nan
31111;nan
31112;nan
31113;nan
31114;nan
31115;nan
31116;nan
2856;jazz
2872;jazz
2874;free jazz,jazz fusion,jazz,post-bop
31140;jazz fusion,post-bop
1107;jazz-funk,crossover jazz,swing music,jazz fusion,big band,jazz
1621;jazz
24123;jazz
31165;jazz
31166;jazz
1135;jazz-funk,crossover jazz,jazz fusion,jazz
1137;jazz-funk,crossover jazz,jazz fusion,jazz
1138;jazz-funk,crossover jazz,jazz fusion,jazz
1541;crossover jazz,jazz fusion,jazz
13292;jazz-funk,crossover jazz,jazz fusion,afro-cuban jazz,jazz
19738;jazz-funk,crossover jazz,jazz fusion,jazz
1635;bossa nova,latin jazz
31220;latin jazz
31229;latin jazz
31231;latin jazz
31232;latin jazz
31234;latin jazz
31235;latin jazz
31236;latin jazz
31237;latin jazz
31238;latin jazz
31240;latin jazz
31242;latin jazz
1538;jazz
12031;nan
31261;nan
31263;nan
31265;nan
31266;nan
31267;nan
1833;jazz
1838;jazz
1840;jazz
1842;jazz
1845;jazz
1849;jazz
2782;jazz
10556;jazz
28006;jazz
31279;jazz
2645;bebop,hard bop,jazz fusion,free jazz,jazz,post-bop
5971;jazz fusion,jazz,post-bop
6698;jazz-funk,hard bop,jazz fusion,big band,free jazz,jazz,post-bop
8102;acid jazz,jazz fusion,jazz,post-bop
13824;boogie-woogie,bebop,hard bop,jazz,cool jazz
31335;nan
31343;nan
31344;nan
31345;nan
31346;nan
31347;nan
31348;nan
31349;nan
31350;nan
31351;nan
31353;nan
31354;nan
31355;nan
31356;nan
31363;nan
31364;nan
31365;nan
31366;nan
31367;nan
31368;nan
31369;nan
31370;nan
107;free jazz,jazz fusion
31358;nan
31373;nan
31375;nan
31376;nan
31377;nan
31378;nan
6228;jazz fusion
33635;nan
6240;jazz fusion
33637;nan
33638;nan
33639;nan
33640;nan
33641;nan
14657;jazz fusion
7646;nan
7654;nan
7655;nan
7657;nan
31425;nan
2319;nan
2323;jazz fusion
2337;nan
2338;nan
26109;nan
33636;nan
2148;nan
31408;nan
31412;nan
31413;nan
22387;bebop,jazz,post-bop
58081;bebop,post-bop
9890;bebop,big band,post-bop
58083;bebop,post-bop
58084;bebop,post-bop
58085;bebop,post-bop
58086;bebop,post-bop
7160;bebop,jazz,post-bop
7914;bebop,hard bop,big band,afro-cuban jazz,post-bop
17236;bebop,hard bop,jazz,post-bop
517;jazz-funk,bebop,jazz fusion,big band,acid jazz,jazz,post-bop
58099;crossover jazz,bebop,dixieland jazz,swing music
58100;swing music
58101;swing music
58102;swing music
58103;swing music
90;gypsy jazz
10877;gypsy jazz
23743;gypsy jazz
58114;gypsy jazz
25337;gypsy jazz
58116;gypsy jazz
58117;gypsy jazz
58118;gypsy jazz
58119;gypsy jazz
58120;gypsy jazz
58121;gypsy jazz
58122;gypsy jazz
58123;gypsy jazz
58124;gypsy jazz
58125;gypsy jazz
23433;jazz fusion,bebop,jazz,post-bop
28810;bebop,jazz,post-bop
22009;free jazz,bebop,jazz,post-bop
58107;jazz
58104;jazz
31414;nan
31443;nan
31444;nan
27820;nan
31445;nan
31410;nan
31447;nan
31396;nan
31397;nan
31398;nan
31400;nan
31401;nan
31402;nan
31403;nan
31404;nan
31406;nan
31438;nan
31439;nan
31441;nan
6889;nan
31472;nan
31474;nan
31475;nan
31476;nan
27612;nan
27622;nan
27643;nan
27651;nan
31457;nan
31458;nan
31465;nan
30261;nan
31517;nan
31519;nan
31539;nan
31545;nan
5895;jazz fusion,jazz
5896;jazz
5899;jazz fusion,jazz
5902;jazz-funk,crossover jazz,jazz fusion,afro-cuban jazz,jazz
5903;jazz fusion,jazz
24306;jazz fusion,jazz
28944;jazz fusion,jazz
3032;jazz
7282;jazz
8181;jazz
26155;jazz
31528;jazz
31529;jazz
31533;jazz
31534;jazz
31535;jazz
31537;jazz
31548;latin jazz
31551;latin jazz
31553;latin jazz
31555;latin jazz
31557;latin jazz
31552;free jazz,post-bop
31554;free jazz,post-bop
31562;free jazz,post-bop
1372;jazz fusion,jazz,latin jazz
31603;nan
31634;nan
31638;nan
31640;nan
31643;nan
31644;nan
31645;nan
31646;nan
31622;nan
31625;nan
31627;nan
31629;nan
31630;nan
31633;bossa nova
31635;bossa nova
31637;bossa nova
31639;bossa nova
31641;bossa nova
31631;bossa nova
485;nan
11181;nan
20679;jazz-funk,jazz fusion,bebop,post-bop
23363;jazz-funk,crossover jazz
31682;nan
31686;nan
31665;nan
31666;nan
31667;nan
31668;nan
31669;nan
31670;nan
31671;nan
31672;nan
338;nan
2523;nan
2533;nan
9288;nan
26467;acid jazz
31679;nan
31683;nan
31722;nan
31728;nan
31741;nan
31743;nan
31744;nan
31726;nan
31698;nan
31706;nan
31699;nan
31703;nan
31730;nan
31731;nan
9172;nan
9174;nan
9175;nan
31714;nan
31716;nan
28557;nan
28560;nan
28561;nan
31739;nan
31748;nan
31753;nan
31754;nan
31755;nan
31758;nan
31779;nan
31781;nan
5549;nan
31729;nan
31740;nan
31742;nan
31746;nan
5408;nan
5412;nan
31757;nan
31761;nan
10741;nan
27595;free jazz
31806;nan
31812;nan
31814;nan
5402;jazz
31805;nan
31822;nan
31824;nan
31826;nan
31827;nan
31798;nan
31800;nan
31801;nan
31802;nan
28924;jazz-funk,jazz
31880;jazz
31881;jazz
5611;jazz,big band
10831;jazz,big band
31851;nan
5590;nan
31929;nan
9521;nan
31925;nan
31926;nan
31928;nan
31963;nan
31969;nan
31971;nan
31973;nan
31974;nan
31976;nan
31972;nan
31975;nan
31986;nan
31987;nan
31989;nan
6813;nan
31990;nan
31991;nan
31993;nan
31995;nan
32029;nan
16803;jazz,post-bop
18074;jazz
31996;jazz
32007;jazz
32009;jazz
32011;jazz
32012;jazz
8597;acid jazz
12036;jazz fusion,jazz,acid jazz
22307;jazz-funk,acid jazz
32023;acid jazz
32024;acid jazz
32042;acid jazz
32050;acid jazz
32057;acid jazz
32058;acid jazz
32063;acid jazz
32065;acid jazz
32015;nan
32020;nan
32022;nan
32032;nan
32143;jazz
32145;jazz
32146;jazz
32148;jazz
1182;jazz-funk,jazz
32118;jazz
32135;jazz
32136;jazz
32137;jazz
32138;jazz
32139;jazz
32140;jazz
32141;jazz
1203;nan
25604;jazz,afro-cuban jazz,post-bop
32131;nan
32133;nan
32202;nan
32185;nan
32219;nan
32221;nan
32223;nan
32225;nan
32226;nan
32227;nan
32228;nan
32229;nan
33660;nan
31419;jazz fusion
31420;jazz fusion
31421;jazz fusion
2641;nan
2670;nan
3815;nan
29672;nan
4557;jazz-funk,crossover jazz,jazz fusion,jazz,post-bop
19531;jazz fusion
24057;jazz fusion
27681;jazz-funk,jazz fusion,jazz
27683;jazz fusion,jazz
31435;jazz fusion
10156;nan
13363;nan
17169;jazz fusion,jazz,big band
19325;nan
20590;nan
20592;nan
22036;nan
31485;nan
31486;nan
31488;nan
508;nan
3745;nan
31511;nan
31513;nan
9017;nan
31478;nan
395;jazz fusion,dixieland jazz
31482;nan
31484;nan
31480;nan
60222;nan
60223;nan
60224;nan
31494;nan
13142;nan
31467;nan
11417;jazz
31556;jazz
31561;jazz
31577;jazz
31584;jazz
31586;jazz
522;jazz
1461;jazz fusion,jazz
6334;jazz
31611;jazz
31614;jazz
31618;jazz
31620;jazz
31623;jazz
31626;jazz
31628;jazz
760;nan
762;nan
31565;nan
31581;nan
31583;nan
31585;nan
31590;nan
31592;nan
31594;nan
17072;jazz
31636;jazz
31650;jazz
31653;jazz
31656;jazz
31658;jazz fusion,jazz
31659;jazz
31661;jazz
79;nan
31673;nan
31674;nan
31675;nan
31676;nan
31677;nan
2484;jazz fusion,jazz,big band
31705;jazz
60218;jazz
31707;jazz
8865;jazz
31709;jazz
31710;jazz
9932;jazz fusion,jazz
22131;big band,afro-cuban jazz
31769;nan
31772;nan
31774;nan
31776;nan
31778;nan
31782;nan
31784;nan
31785;nan
31786;nan
31789;nan
31790;nan
31792;nan
141;bossa nova,latin jazz,jazz
3959;bossa nova
3983;jazz fusion,bossa nova,jazz
3989;bossa nova
3991;bossa nova
3992;bossa nova
17755;nan
25828;jazz
29821;jazz
29823;jazz
31825;nan
928;jazz fusion,bossa nova
6127;nan
6130;nan
7580;nan
7585;latin jazz
10282;nan
26995;nan
31832;nan
31833;nan
31836;nan
31839;nan
31842;nan
31843;nan
31845;nan
31847;nan
31848;nan
29797;nan
31860;nan
31862;nan
31863;nan
31865;nan
31867;nan
31869;nan
31870;nan
2948;bossa nova
23784;nan
29155;nan
8960;nan
23794;nan
29158;nan
27144;nan
31857;nan
11377;jazz
31899;jazz
31905;jazz
31906;jazz
31908;jazz
31910;jazz
31915;jazz
31917;jazz
31918;jazz
31919;jazz
120;jazz-funk,bebop,jazz fusion,big band,jazz,post-bop
5541;jazz-funk,jazz fusion,acid jazz,jazz,post-bop
5892;jazz-funk,crossover jazz,bebop,jazz fusion,acid jazz,cool jazz,jazz,post-bop
14518;jazz fusion
31897;jazz fusion
628;jazz-funk,crossover jazz,bebop,jazz fusion,big band,free jazz,jazz,post-bop
6346;jazz-funk,jazz fusion,jazz
7726;jazz-funk,crossover jazz,hard bop,jazz fusion,jazz,post-bop
